Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Zhu J., Song W., Zhu Z., Ying J., Li B., Tu B., Shi G., Hou R., Meng D.","57204733497;57203982602;57199280648;57204725112;57204729069;8640655500;57189342099;55684325200;55308382800;","CPU security benchmark",2018,"Proceedings of the ACM Conference on Computer and Communications Security",,,,"8","14",,5,"10.1145/3267494.3267499","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056906587&doi=10.1145%2f3267494.3267499&partnerID=40&md5=3cc0602c5560e05c91f125f1c37452f2","Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China","Zhu, J., Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; Song, W., Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; Zhu, Z., Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; Ying, J., Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; Li, B., Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; Tu, B., Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; Shi, G., Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; Hou, R., Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; Meng, D., Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China","The current electronic-economy is booming, electronic-wallets, encrypted virtual-money, mobile payments, and other new generations of economic instruments are springing up. As the most important cornerstone, CPU is facing serious security challenges. And with the blowout of actual application requirements, the importance of CPU security testing is increasing. However, the actual security threats to computer systems are also becoming increasingly rampant (now attackers often use multiple different types of vulnerabilities to construct complex attack systems, not just a single attack chain). The traditional vulnerability detection model is not capable of comprehensive security assessment. We first proposed a comprehensive CPU Security Benchmark solution with high coverage for existing known vulnerabilities, including Undocumented Instructions detection, Control Flow Integrity test, Memory Errors detection, and Cache Side Channels detection, Out of Order and Speculative execution vulnerabilities (Meltdown and Spectre series) tests, and more. Our benchmark provides meaningful and constructive feedbacks for evading architecture/microarchitecture design flaws, system security (OS and libraries) software patches design, and user programming vulnerabilities tips. We hope that the work of this paper will promote the computer system security testing from the past scatter point and line mode (single specific vulnerability and attack chain testing) to coordinated and whole surface mode (multi-type vulnerabilities and attack network testing), thus creating a new research direction of the comprehensive and balanced CPU Security Benchmark. Our test suite will play an inspiring role in the comprehensive assessment of security in personal computer devices (PC/Mobile Phone) and large server clusters (Servers/Cloud), as well as the construction of more secure Block-Chain nodes (IOT), and many other practical applications. © 2018 Association for Computing Machinery.","Comprehensive benchmark; CPU security; Vulnerability detection","Computer architecture; Electronic money; Network architecture; Personal computers; Side channel attack; Application requirements; Comprehensive assessment; Computer system security; Constructive feedback; Control-flow integrities; Economic instruments; Speculative execution; Vulnerability detection; Network security",,,,,,,,,,,,,,"Association for Computing Machinery",15437221,9781450359917,,,"English","Proc ACM Conf Computer Commun Secur",Conference Paper,"Final","",Scopus,2-s2.0-85056906587
"Beranič T., Podgorelec V., Heričko M.","57203508230;6701496970;6603385018;","Towards a reliable identification of deficient code with a combination of software metrics",2018,"Applied Sciences (Switzerland)","8","10","1902","","",,2,"10.3390/app8101902","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054769455&doi=10.3390%2fapp8101902&partnerID=40&md5=d159a5c90da2427a86371925b4d16b0b","Faculty of Electrical Engineering and Computer Science, University of Maribor, Koroška cesta 46, Maribor, 2000, Slovenia","Beranič, T., Faculty of Electrical Engineering and Computer Science, University of Maribor, Koroška cesta 46, Maribor, 2000, Slovenia; Podgorelec, V., Faculty of Electrical Engineering and Computer Science, University of Maribor, Koroška cesta 46, Maribor, 2000, Slovenia; Heričko, M., Faculty of Electrical Engineering and Computer Science, University of Maribor, Koroška cesta 46, Maribor, 2000, Slovenia","Different challenges arise while detecting deficient software source code. Usually a large number of potentially problematic entities are identified when an individual software metric or individual quality aspect is used for the identification of deficient program entities. Additionally, a lot of these entities quite often turn out to be false positives, i.e., the metrics indicate poor quality whereas experienced developers do not consider program entities as problematic. The number of entities identified as potentially deficient does not decrease significantly when the identification of deficient entities is carried out by applying code smell detection rules. Moreover, the intersection of entities identified as allegedly deficient among different code smell detection tools is small, which suggests that the implementation of code smell detection rules are not consistent and uniform. To address these challenges, we present a novel approach for identifying deficient entities that is based on applying the majority function on the combination of software metrics. Program entities are assessed according to selected quality aspects that are evaluated with a set of software metrics and corresponding threshold values derived from benchmark data, considering the statistical distributions of software metrics values. The proposed approach was implemented and validated on projects developed in Java, C++ and C#. The validation of the proposed approach was done with expert judgment, where software developers and architects with multiple years of experiences assessed the quality of the software classes. Using a combination of software metrics as the criteria for the identification of deficient source code, the number of potentially deficient object-oriented program entities proved to be reduced. The results show the correctness of quality ratings determined by the proposed identification approach, and most importantly, confirm the absence of false positive entities. © 2018 by the authors.","Expert judgment; Majority function; Metric thresholds; Object-oriented; Reliable identification; Smelling entities; Smells in source code; Software metrics; Software quality",,"Javna Agencija za Raziskovalno Dejavnost RS, ARRS: 35512, P2-0057, RO 0796","Funding: This work was supported by the Slovenian Research Agency (SRA) under The Young Researchers Programme (SICRIS/SRA code 35512, RO 0796, Programme P2-0057).",,,,,,,,,,"Beranič, T.; Faculty of Electrical Engineering and Computer Science, Koroška cesta 46, Slovenia; email: tina.beranic@um.si",,"MDPI AG",20763417,,,,"English","Appl. Sci.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85054769455
"Alkharabsheh K., Taboada J.A., Crespo Y., Alzu'Bi T.","54681569100;7006470270;22733838200;57204695805;","Improving Design Smell Detection for Adoption in Industry",2018,"2018 8th International Conference on Computer Science and Information Technology, CSIT 2018",,,"08486180","213","218",,1,"10.1109/CSIT.2018.8486180","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056697250&doi=10.1109%2fCSIT.2018.8486180&partnerID=40&md5=4f77f030b97da36b728d4fa2689fb10e","CiTIUS, Centro Singular de Investigacion en Tecnologias de la Informacion, Universidade de Santiago de Compostela, Santiago de Compostela, Spain; Dpto. Informática, Universidad de Valladolid, Valladolid, Spain","Alkharabsheh, K., CiTIUS, Centro Singular de Investigacion en Tecnologias de la Informacion, Universidade de Santiago de Compostela, Santiago de Compostela, Spain; Taboada, J.A., CiTIUS, Centro Singular de Investigacion en Tecnologias de la Informacion, Universidade de Santiago de Compostela, Santiago de Compostela, Spain; Crespo, Y., Dpto. Informática, Universidad de Valladolid, Valladolid, Spain; Alzu'Bi, T., CiTIUS, Centro Singular de Investigacion en Tecnologias de la Informacion, Universidade de Santiago de Compostela, Santiago de Compostela, Spain","This work deals with the development of a classification algorithm that will improve the usefulness of design smell detection tools for its adoption in industry in order to increase software quality (maintainability, understandability, etc.). The current knowledge of Design Smell Detection (types of smells, approaches, strategies, algorithms, tools, etc.) will be identified. After that, a dataset that allow the comparison of different machine learning techniques will be developed. Analysis of possible improvements derived of the introduction of subjectivity, adaptability and gray scale are also an objective of the work. © 2018 IEEE.","Design Smell; Detection Tools; Empirical Study; Machine Learning; Software Quality","Artificial intelligence; Computer software selection and evaluation; Inspection equipment; Classification algorithm; Detection tools; Empirical studies; Gray scale; Improving designs; Machine learning techniques; Software Quality; Understandability; Learning systems",,,,,,,,,,,,,,"Institute of Electrical and Electronics Engineers Inc.",,9781538641521,,,"English","Int. Conf. Comput. Sci. Inf. Technol., CSIT",Conference Paper,"Final","",Scopus,2-s2.0-85056697250
"Liu H., Li B., Yang Y., Ma W., Jia R.","57196220498;9334814500;55883652400;56949541600;57204005440;","Exploring the Impact of Code Smells on Fine-Grained Structural Change-Proneness",2018,"International Journal of Software Engineering and Knowledge Engineering","28","10",,"1487","1516",,4,"10.1142/S0218194018500432","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054031457&doi=10.1142%2fS0218194018500432&partnerID=40&md5=577bccdc905f34ed6bd1ac86acf7bd2a","School of Computer Science and Engineering, Southeast University, Nanjing, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; School of Software and Electrical Engineering, Swinburne University of Technology, Melbourne, Australia","Liu, H., School of Computer Science and Engineering, Southeast University, Nanjing, China; Li, B., School of Computer Science and Engineering, Southeast University, Nanjing, China; Yang, Y., State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; Ma, W., State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; Jia, R., School of Software and Electrical Engineering, Swinburne University of Technology, Melbourne, Australia","Code smells are used to describe the bad structures in the source code, which could hinder software maintainability, understandability and changeability. Nowadays, scholars mainly focus on the impact of smell on textual change-proneness. However, in comparison to textual changes, structural changes could better reveal the change nature. In practice, not all code change types are equally important in terms of change risk severity levels, and software developers are more interested in particular changes relevant to their current tasks. Therefore, we investigate the relationship between smells and fine-grained structural change-proneness to solve these issues. Our experiment was conducted on 11 typical open source projects. We first employed Fishers exact test and Mann-Whitney test to explore whether smelly files (affected by at least one smell type) had higher structural change-proneness than other files, and whether files with more smell instances are more likely to undergo structural changes, respectively. Multivariate logistic regression model was built to study the relation between each kind of smell and change-proneness with respect to five change categories. Our results showed that: (1) in most cases, smelly files were more prone to structural changes and files with more smell instances tend to undergo higher structural changes; (2) quite a few smell types were related to structural change-proneness, particularly, Refused Parent Bequest (RPB), Message Chains (MCH), Divergent Change (DIVC), Feature Envy (FE) and Shotgun Surgery (SS) increased structural changes for some change categories. However, when controlling the file size Lines of Code (LOC), significant change-proneness of some smells disappeared or the magnitude of significance decreased more or less. © 2018 World Scientific Publishing Company.","change-proneness; code change; Code smell; fine-grained change type","Odors; Open source software; Regression analysis; Change proneness; Code changes; Code smell; Fine-grained changes; Multivariate logistic regressions; Open source projects; Software developer; Software maintainability; Codes (symbols)","National Natural Science Foundation of China, NSFC: 61402103, 61572008, 61572126; Huawei Technologies","Many thanks were given to Dr. Tong Wang for her constructive comments on an earlier draft as well as quick resolution for my Latex typeset problems. This work was partially supported by the National Natural Science Foundation of China under Grant Nos. 61572126, 61572008, 61402103 and partially supported by Huawei Technologies Co., Ltd. under Grant No. YBN2016020009.",,,,,,,,,,"Li, B.; School of Computer Science and Engineering, China; email: bx.li@seu.edu.cn",,"World Scientific Publishing Co. Pte Ltd",02181940,,ISEKE,,"English","Int. J. Software Engineer. Knowledge Engineer.",Article,"Final","",Scopus,2-s2.0-85054031457
"Santos J.A.M., Rocha-Junior J.B., Prates L.C.L., Nascimento R.S.D., Freitas M.F., Mendonça M.G.D.","56712246700;37081769400;57202993697;57199324360;57202982903;7005160540;","A systematic review on the code smell effect",2018,"Journal of Systems and Software","144",,,"450","477",,32,"10.1016/j.jss.2018.07.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050081131&doi=10.1016%2fj.jss.2018.07.035&partnerID=40&md5=b882822659f4a20d49e3fd2c3be4b4c5","Technology Department, State University of Feira de Santana, Bahia, Brazil; Department of Exact Science, State University of Feira de Santana, Bahia, Brazil; Fraunhofer Project Center for Software & Systems Engineering, Federal University of Bahia, Bahia, Brazil; Mathematic Institute, Federal University of Bahia, Bahia, Brazil","Santos, J.A.M., Technology Department, State University of Feira de Santana, Bahia, Brazil; Rocha-Junior, J.B., Department of Exact Science, State University of Feira de Santana, Bahia, Brazil, Fraunhofer Project Center for Software & Systems Engineering, Federal University of Bahia, Bahia, Brazil; Prates, L.C.L., Mathematic Institute, Federal University of Bahia, Bahia, Brazil; Nascimento, R.S.D., Mathematic Institute, Federal University of Bahia, Bahia, Brazil; Freitas, M.F., Mathematic Institute, Federal University of Bahia, Bahia, Brazil; Mendonça, M.G.D., Fraunhofer Project Center for Software & Systems Engineering, Federal University of Bahia, Bahia, Brazil, Mathematic Institute, Federal University of Bahia, Bahia, Brazil","Context: Code smell is a term commonly used to describe potential problems in the design of software. The concept is well accepted by the software engineering community. However, some studies have presented divergent findings about the usefulness of the smell concept as a tool to support software development tasks. The reasons of these divergences have not been considered because the studies are presented independently. Objective: To synthesize current knowledge related to the usefulness of the smell concept. We focused on empirical studies investigating how smells impact the software development, the code smell effect. Method: A systematic review about the smell effect is carried out. We grouped the primary studies findings in a thematic map. Result: The smell concept does not support the evaluation of quality design in practice activities of software development. There is no strong evidence correlating smells and some important software development attributes, such as effort in maintenance. Moreover, the studies point out that human agreement on smell detection is low. Conclusion: In order to improve analysis on the subject, the area needs to better outline: (i) factors affecting human evaluation of smells; and (ii) a classification of types of smells, grouping them according to relevant characteristics. © 2018 Elsevier Inc.","Code smell; Systematic review; Thematic synthesis","Codes (symbols); Maps; Odors; Quality control; Code smell; Design of softwares; Empirical studies; Engineering community; Human evaluation; Potential problems; Quality design; Systematic Review; Software design","International Business Machines Corporation, IBM","Manoel Gomes Mendonça is Professor of Computer Science at the Federal University of Bahia (UFBA). Prof. Mendonça holds a Ph.D. in computer science from the University of Maryland at College Park (UMCP). From 1994 to 1997, he was a visiting scientist and was awarded a doctoral fellowship from IBM Toronto Laboratory’s Centre for Advanced Studies. From 1997 to 2000, he worked as a Faculty Research Associate at UMCP and as a scientist at the Fraunhofer Center Maryland. He joined Salvador University (Brazil) as a Professor in 2000. There he headed the university’s Computing Research Center and helped to create the first computer science master and doctoral programs at his home state of Bahia. From 2008 to 2009, he was the president of the Special Commission for Software Engineering of the Brazilian Computer Society (SBC). He joined UFBA in 2009. There, he has headed the computer science graduate program and the university’s software engineering lab. From 2012 to 2015, he was the Founding Director of the Fraunhofer Project Center for Software and Systems Engineering at UFBA. Dr. Mendonça has published over 150 technical papers. His main research interests are on software engineering and information visualization. He is a member of SBC, and senior member of both IEEE and ACM.","This work was partially supported by SECTI-BA (Bureau of Science and Technology of Bahia) - Fraunhofer Project Center for Software & Systems Eng. agreement 2012/001.",,,,,,,,,"Santos, J.A.M.; Technology Department, Brazil; email: zeamancio@uefs.br",,"Elsevier Inc.",01641212,,JSSOD,,"English","J Syst Software",Article,"Final","",Scopus,2-s2.0-85050081131
"Walter B., Fontana F.A., Ferme V.","14046404000;6601971118;55319324200;","Code smells and their collocations: A large-scale experiment on open-source systems",2018,"Journal of Systems and Software","144",,,"1","21",,15,"10.1016/j.jss.2018.05.057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047970347&doi=10.1016%2fj.jss.2018.05.057&partnerID=40&md5=13247a0e7927890a2a6e02889e25dbc8","Faculty of Computing, Poznań University of Technology, Poznań, Poland; Department of Informatics, Systems and Communication University of Milano-Bicocca, Milano, Italy; Software Institute, Faculty of Informatics, USI Lugano, Switzerland","Walter, B., Faculty of Computing, Poznań University of Technology, Poznań, Poland; Fontana, F.A., Department of Informatics, Systems and Communication University of Milano-Bicocca, Milano, Italy; Ferme, V., Software Institute, Faculty of Informatics, USI Lugano, Switzerland","Code smells indicate possible flaws in software design, that could negatively affect system's maintainability. Interactions among smells located in the same classes (i.e., collocated smells) have even more detrimental effect on quality. Extracted frequent patterns of collocated smells could help to understand practical consequences of collocations. In this paper we identify and empirically validate frequent collocations of 14 code smells detected in 92 Java systems, using three approaches: pairwise correlation analysis, PCA and associative rules. To cross-validate the results, we used up to 6 detectors for each smell. Additionally, we examine and compare techniques used to extract the relationships. The contribution is three-fold: (1) we identify and empirically validate relationships among the examined code smells on a large dataset that we made publicly available, (2) we discuss how the choice of code smell detectors affects results, and (3) we analyze the impact of software domain on existence of the smell collocations. Additionally, we found that analytical methods we used to discover collocations, are complementary. Smells collocations display recurring patterns that could help prioritizing the classes affected by code smells to be refactored and developing or enhancing detectors exploiting information about collocations. They can also help the developers focusing on classes deserving more maintenance effort. © 2018","Code smell detectors; Code smells; Collocated smells; Inter-smell relationships; Smell interaction; Source code quality","Codes (symbols); Odors; Open source software; Software design; Code smell; Collocated smells; Inter-smell relationships; Smell interaction; Source code qualities; Open systems",,,,,,,,,,,,"Walter, B.; Faculty of Computing, Poland; email: bartosz.walter@cs.put.poznan.pl",,"Elsevier Inc.",01641212,,JSSOD,,"English","J Syst Software",Article,"Final","",Scopus,2-s2.0-85047970347
"Liu H., Xu Z., Zou Y.","56862404100;57200119166;23491099400;","Deep learning based feature envy detection",2018,"ASE 2018 - Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering",,,,"385","396",,46,"10.1145/3238147.3238166","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056520897&doi=10.1145%2f3238147.3238166&partnerID=40&md5=00d55dc0fc8e1e85803d2eb565f42674","School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; Key Laboratory of High Confidence Software Technologies, Peking University, Ministry of Education, Beijing, China; School of Electronics Engineering and Computer Science, Peking University, China","Liu, H., School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; Xu, Z., School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; Zou, Y., Key Laboratory of High Confidence Software Technologies, Peking University, Ministry of Education, Beijing, China, School of Electronics Engineering and Computer Science, Peking University, China","Software refactoring is widely employed to improve software quality. A key step in software refactoring is to identify which part of the software should be refactored. To facilitate the identification, a number of approaches have been proposed to identify certain structures in the code (called code smells) that suggest the possibility of refactoring. Most of such approaches rely on manually designed heuristics to map manually selected source code metrics to predictions. However, it is challenging to manually select the best features, especially textual features. It is also difficult to manually construct the optimal heuristics. To this end, in this paper we propose a deep learning based novel approach to detecting feature envy, one of the most common code smells. The key insight is that deep neural networks and advanced deep learning techniques could automatically select features (especially textual features) of source code for feature envy detection, and could automatically build the complex mapping between such features and predictions. We also propose an automatic approach to generating labeled training data for the neural network based classifier, which does not require any human intervention. Evaluation results on open-source applications suggest that the proposed approach significantly improves the state-of-the-art in both detecting feature envy smells and recommending destinations for identified smelly methods. © 2018 Copyright held by the owner/author(s).","Code smells; Deep learning; Feature envy; Software refactoring","Classification (of information); Codes (symbols); Computer software selection and evaluation; Deep learning; Deep neural networks; Odors; Open source software; Automatic approaches; Code smell; Feature envy; Labeled training data; Learning techniques; Open source application; Software refactoring; Source code metrics; Feature extraction","National Natural Science Foundation of China, NSFC: 61472034,61772071, 61690205; National Basic Research Program of China (973 Program): 2016YFB1000801","This work is supported by the National Natural Science Foundation of China under Grant No.: 61690205, 61472034,61772071, and National Key Research and Development Program of China under Grant No.: 2016YFB1000801",,,,,,,,,,"Liu, H.; School of Computer Science and Technology, China; email: Liuhui08@bit.edu.cn","Kastner C.Huchard M.Fraser G.","Association for Computing Machinery, Inc",,9781450359375,,,"English","ASE - Proc. ACM/IEEE Int. Conf. Autom. Soft. Eng.",Conference Paper,"Final","",Scopus,2-s2.0-85056520897
"Krüger J., Fenske W., Thüm T., Aporius D., Saake G., Leich T.","57191578129;37161126200;35761739500;57204431248;7004621677;13005454000;","Apo-games-a case study for reverse engineering variability from cloned Java variants",2018,"ACM International Conference Proceeding Series","1",,,"251","256",,16,"10.1145/3233027.3236403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055553040&doi=10.1145%2f3233027.3236403&partnerID=40&md5=87e1efe515bf4a13895db6c2d1f4979d","Harz University of Applied Science, Otto-von-Guericke-University, Wernigerode, Germany; Harz University of Applied Science, Otto-von-Guericke-University, Magdeburg, Germany; Otto-von-Guericke-University, Magdeburg, Germany; Technische Universität Braunschweig, Braunschweig, Germany; Eudemonia Solutions AG, Magdeburg, Germany; Harz University of Applied Sciences, METOP GmbH, Wernigerode, Germany; Harz University of Applied Sciences, METOP GmbH, Magdeburg, Germany","Krüger, J., Harz University of Applied Science, Otto-von-Guericke-University, Wernigerode, Germany, Harz University of Applied Science, Otto-von-Guericke-University, Magdeburg, Germany; Fenske, W., Otto-von-Guericke-University, Magdeburg, Germany; Thüm, T., Technische Universität Braunschweig, Braunschweig, Germany; Aporius, D., Eudemonia Solutions AG, Magdeburg, Germany; Saake, G., Harz University of Applied Science, Otto-von-Guericke-University, Magdeburg, Germany; Leich, T., Harz University of Applied Sciences, METOP GmbH, Wernigerode, Germany, Harz University of Applied Sciences, METOP GmbH, Magdeburg, Germany","Software-product-line engineering is an approach to systematically manage reusable software features and has been widely adopted in practice. Still, in most cases, organizations start with a single product that they clone and modify when new customer requirements arise (a.k.a. Clone-and-own). With an increasing number of variants, maintenance can become challenging and organizations may consider migrating towards a software product line, which is referred to as extractive approach. While this is the most common approach in practice, techniques to extract variability from cloned variants still fall short in several regards. In particular, this accounts for the low accuracy of automated analyses and refactoring, our limited understanding of the costs involved, and the high manual effort. A main reason for these limitations is the lack of realistic case studies. To tackle this problem, we provide a set of cloned variants. In this paper, we characterize these variants and challenge the research community to apply techniques for reverse engineering feature models, feature location, code smell analysis, architecture recovery, and the migration towards a software product line. By evaluating solutions with the developer of these variants, we aim to contribute to a larger body of knowledge on this real-world case study. © 2018 Copyright held by the owner/author(s).","Case study; Data set; Extractive approach; Feature location; Reverse engineering; Software-product-line engineering","Cloning; Computer software reusability; Java programming language; Reverse engineering; Software design; Architecture recovery; Customer requirements; Data set; Extractive approach; Feature location; Research communities; Software Product Line; Software product line engineerings; Feature extraction",,,,,,,,,,,,,"Light A.Lee Y.Lee Y.Garde J.Botterweck G.Nadi S.Kanstrup A.M.Borba P.Vines J.Berger T.Mannisto T.Teli M.Brandt E.Bodker K.Benavides D.","Association for Computing Machinery",,9781450363716; 9781450364645,,,"English","ACM Int. Conf. Proc. Ser.",Conference Paper,"Final","",Scopus,2-s2.0-85055553040
"Faujdar N., Srivastav K., Gupta M., Saraswat S.","56910217600;57203938289;57203936750;56785819200;","Detection Strategies of Bad Smells in Highly Configurable Software",2018,"Proceedings of the 8th International Conference Confluence 2018 on Cloud Computing, Data Science and Engineering, Confluence 2018",,,"8443066","31","35",,1,"10.1109/CONFLUENCE.2018.8443066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053687595&doi=10.1109%2fCONFLUENCE.2018.8443066&partnerID=40&md5=5188ed8227367c3bff4410e3f5d2e80e","Amity University, Department of CSE, Noida, India","Faujdar, N., Amity University, Department of CSE, Noida, India; Srivastav, K., Amity University, Department of CSE, Noida, India; Gupta, M., Amity University, Department of CSE, Noida, India; Saraswat, S., Amity University, Department of CSE, Noida, India","Software maintenance is a tough work and when code become very large its hard to track the changes and bad code makes it harder. One way to track the quality of software is to track for bad smells in the software. They can help track the code which can cause problems in near future. The objective is to build a bot that crawls through our code daily and gives a status of smells in the code. To achieve this, developed a set of instruction and strategies and implemented them in python to parse code of Java and track the software with time. All statistics are shown with the python library matplotlib and the bot can be automated to crawl in Linux, Mac, and Windows. Found that, the bot can detect smells which are not detectable by the developer. The life of software can be increased by a refracting the code time to time with the help of smells detected by the bot. Only Java is supported till now but this paper increased the support to other languages also. © 2018 IEEE.","Bad smells; Code Smells; Software Maintainability","Cloud computing; Codes (symbols); Computer operating systems; High level languages; Odors; Bad smells; Code smell; Quality of softwares; Software maintainability; Java programming language",,,,,,,,,,,,,,"Institute of Electrical and Electronics Engineers Inc.",,9781538617182,,,"English","Proc. Int. Conf. Conflu. Cloud Comput., Data Sci. Eng., Conflu.",Conference Paper,"Final","",Scopus,2-s2.0-85053687595
"Saini V., Sajnani H., Lopes C.","56553828400;53878296500;7103222266;","Cloned and non-cloned Java methods: a comparative study",2018,"Empirical Software Engineering","23","4",,"2232","2278",,6,"10.1007/s10664-017-9572-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038089408&doi=10.1007%2fs10664-017-9572-7&partnerID=40&md5=f1d11b414cfaf5968cf72883b7433263","University of California Irvine, Irvine, CA, United States; Microsoft, Redmond, WA, United States","Saini, V., University of California Irvine, Irvine, CA, United States; Sajnani, H., Microsoft, Redmond, WA, United States; Lopes, C., University of California Irvine, Irvine, CA, United States","Reusing code via copy-and-paste, with or without modification is a common behavior observed in software engineering. Traditionally, cloning has been considered as a bad smell suggesting flaws in design decisions. Many studies exist targeting clone discovery, removal, and refactoring. However there are not many studies which empirically investigate and compare the quality of cloned code to that of the code which has not been cloned. To this end, we present a statistical study that shows whether qualitative differences exist between cloned methods and non-cloned methods in Java projects. The dataset consists of 3562 open source Java projects containing 412,705 cloned and 616,604 non-cloned methods. The study uses 27 software metrics as a proxy for quality, spanning across complexity, modularity, and documentation (code-comments) categories. When controlling for size, no statistically significant differences were found between cloned and non-cloned methods for most of the metrics, except for three of them. The main statistically significant difference found was that cloned methods are on an average 18% smaller than non-cloned methods. After doing a mixed method analysis, we provide some insight for why cloned methods are smaller. © 2017, Springer Science+Business Media, LLC.","Code clones; Open source software; Quality metrics","Codes (symbols); Copying; Java programming language; Open source software; Open systems; Code clone; Comparative studies; Design decisions; Qualitative differences; Quality metrics; Software metrics; Statistical study; Statistically significant difference; Cloning","National Science Foundation, NSF; Directorate for Computer and Information Science and Engineering, CISE: 1218228; Defense Advanced Research Projects Agency, DARPA","Acknowledgments This work was partially supported by a grant from the National Science Foundation No.1218228, and by the DARPA MUSE program.",,,,,,,,,,"Saini, V.; University of California IrvineUnited States; email: vpsaini@uci.edu",,"Springer New York LLC",13823256,,ESENF,,"English","Empir Software Eng",Article,"Final","",Scopus,2-s2.0-85038089408
