Item type,Authors,Title,Journal,Publication year,Volume,Issue,Pages,Publisher,Address,Proceedings title,Conference location,Date published,ISBN,ISSN,URLs,DOI,Abstract,Keywords,Series,Sub-type,Book title,Edition
Conference Paper,"Cortellessa V,Di Marco A,Eramo R,Pierantonio A,Trubiani C",Digging into UML Models to Remove Performance Antipatterns,,2010,,,9–16,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 2010 ICSE Workshop on Quantitative Stochastic Models in the Verification and Design of Software Systems,"Cape Town, South Africa",2010,9781605589725.0,,https://doi.org/10.1145/1808877.1808880;http://dx.doi.org/10.1145/1808877.1808880,10.1145/1808877.1808880,"Performance antipatterns have been informally defined and characterized as bad practices in software design that can originate performance problems. Such special type of patterns can involve static and dynamic aspects of software as well as deployment features. It has been shown that quite often the inability to meet performance requirements is due to the presence of antipatterns in the software design. However the problem of formally defining antipatterns and automatically detect them within a design model has not been investigated yet. In this paper we examine this problem within the UML context and show how performance antipatterns can be defined and detected in UML models by mean of OCL. A case study in UML annotated with the MARTE profile is presented where, after a performance analysis that shows unsatisfactory results, performance antipatterns are detected through an OCL engine. The identification of an antipattern suggests the architectural alternatives that can remove that specific problem. We show in our example that the removal of a certain antipattern actually allows to overcome a specific performance problem.","software performance engineering, object constraint language, antipatterns, unified modeling language",QUOVADIS '10,,,
Conference Paper,"Femmer H,Fernández DM,Juergens E,Klose M,Zimmer I,Zimmer J",Rapid Requirements Checks with Requirements Smells: Two Case Studies,,2014,,,10–19,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 1st International Workshop on Rapid Continuous Software Engineering,"Hyderabad, India",2014,9781450328562.0,,https://doi.org/10.1145/2593812.2593817;http://dx.doi.org/10.1145/2593812.2593817,10.1145/2593812.2593817,"Bad requirements quality can have expensive consequences during the software development lifecycle. Especially, if iterations are long and feedback comes late - the faster a problem is found, the cheaper it is to fix. We propose to detect issues in requirements based on requirements (bad) smells by applying a light-weight static requirements analysis. This light-weight technique allows for instant checks as soon as a requirement is written down. In this paper, we derive a set of smells, including automatic smell detection, from the natural language criteria of the ISO/IEC/IEEE 29148 standard. We evaluated the approach with 336 requirements and 53 use cases from 9 specifications that were written by the car manufacturer Daimler AG and the chemical business company Wacker Chemie AG, and discussed the results with their requirements and domain experts. While not all problems can be detected, the case study shows that lightweight smell analysis can uncover many practically relevant requirements defects. Based on these results and the discussion with our industry partners, we conclude that requirements smells can serve as an efficient supplement to traditional reviews or team discussions, in order to create fast feedback on requirements quality.","Requirements Smells, Requirements Engineering, Analytical Quality Assurance",RCoSE 2014,,,
Conference Paper,"Athanasiadis IN,Villa F",A Roadmap to Domain Specific Programming Languages for Environmental Modeling: Key Requirements and Concepts,,2013,,,27–32,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 2013 ACM Workshop on Domain-Specific Modeling,"Indianapolis, Indiana, USA",2013,9781450326001.0,,https://doi.org/10.1145/2541928.2541934;http://dx.doi.org/10.1145/2541928.2541934,10.1145/2541928.2541934,"The limited reuse of current environmental software can be blamed in part on the tools used to develop it; the use of generic-purpose programming languages makes it particularly hard. As environmental scientists strive to prioritize the clear statement and communication of the semantics of natural systems in favor of understanding software implementations of their models, Domain-Specific Languages may come to help, offering the option of truly declarative environment for environmental modeling. This paper discusses some key requirements and concepts for developing Domain-Specific Languages that can inform and streamline environmental modeling, and previews some use scenarios using examples from a DSL in development.","semantic modeling, software interoperability, ecoinformatics, domain specific languages, environmental modeling, software reuse",DSM '13,,,
Conference Paper,"Porat T,Schclar A,Shapira B",MATE: A Mobile Analysis Tool for Usability Experts,,2013,,,265–270,Association for Computing Machinery,"New York, NY, USA",CHI '13 Extended Abstracts on Human Factors in Computing Systems,"Paris, France",2013,9781450319522.0,,https://doi.org/10.1145/2468356.2468404;http://dx.doi.org/10.1145/2468356.2468404,10.1145/2468356.2468404,"The 'SmartMobile' research project is directed to design and develop tools to help mobile companies view and analyze data related to the usage and performance of their applications and services.In this paper we focus on one of the main tools that were developed - MATE (Mobile Analysis Tool for usability Experts). MATE is designed to highlight potential usability problems in specific mobile applications, tasks and screens. This is done by extracting and aggregating relevant usage and performance metrics from real customers using their mobile devices. Subjective metrics received from usability tests may be inserted to MATE in order to compare objective and subjective metrics per scenario and per task. Usability evaluations performed by experienced usability experts strengthened the necessity of this tool as an important complement to usability testing.","human-computer interaction, mobile devices, usability testing, usability",CHI EA '13,,,
Conference Paper,"Santos AR,do Carmo Machado I,de Almeida ES",RiPLE-HC: Javascript Systems Meets Spl Composition,,2016,,,154–163,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 20th International Systems and Software Product Line Conference,"Beijing, China",2016,9781450340502.0,,https://doi.org/10.1145/2934466.2934486;http://dx.doi.org/10.1145/2934466.2934486,10.1145/2934466.2934486,"Context. Software Product Lines (SPL) engineering is increasingly being applied to handle variability in industrial software systems. Problem. The research community has pointed out a series of benefits which modularity brings to software composition, a key aspect in SPL engineering. However, in practice, the reuse in Javascript-based systems relies on the use of package managers (e.g., npm, jam, bower, requireJS), but these approaches do not allow the management of project features. Method. This paper presents the RiPLE-HC, a strategy aimed at blending compositional and annotative approaches to implement variability in Javascript-based systems. Results. We applied the approach in an industrial environment and conducted an academic case study with six open-source systems to evaluate its robustness and scalability. Additionally, we carried a controlled experiment to analyze the impact of the RiPLE-HC code organization on the feature location maintenance tasks. Conclusion. The empirical evaluations yielded evidence of reduced effort in feature location, and positive benefits when introducing systematic reuse aspects in Javascript-based systems.","web systems domain, featureIDE, software product line engineering, eclipse plugin, feature composition",SPLC '16,,,
Conference Paper,Cox C,Generalization Refactorings for Reusable Aspects,,2013,,,,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 51st ACM Southeast Conference,"Savannah, Georgia",2013,9781450319010.0,,https://doi.org/10.1145/2498328.2500050;http://dx.doi.org/10.1145/2498328.2500050,10.1145/2498328.2500050,"Aspect-oriented programming techniques have shown potential for improving the modularity of software by factoring out the code related to implementing cross-cutting concerns into separate aspect modules. The necessary cross-cutting functionality is then injected into the application as needed at runtime or compile-time by the aspects. Refactoring catalogs exist to provide guidance for this refactoring but could be expanded to improve the reusability of the resulting aspect code. This work presents three new aspect refactorings that provide generally-applicable guidance for improving the reusability of refactored aspects. The proposed refactorings further modularize the aspects themselves by separating the general concern-related code from the application-specific concern-related code, thus improving the potential reusability of the aspects.","aspect-oriented refactoring, design patterns, software modularity",ACMSE '13,,,
Conference Paper,"Strauch J,Schreier S",RESTify: From RPCs to RESTful HTTP Design,,2012,,,11–18,Association for Computing Machinery,"New York, NY, USA",Proceedings of the Third International Workshop on RESTful Design,"Lyon, France",2012,9781450311908.0,,https://doi.org/10.1145/2307819.2307824;http://dx.doi.org/10.1145/2307819.2307824,10.1145/2307819.2307824,"Starting with RESTful design is a difficult task -- even more if the designer has a RPC or object-oriented background. To support the adaption from RPC- to REST-oriented thinking, we propose RESTify, a straightforward procedure model to redesign a RPC-oriented interface into a hypermedia-enabled REST interface. RESTfiy uses a WSDL document of an existing SOAP service and consists of three iterations. The result of each iteration is an enhanced version of the preceding one concerning the REST constraints and is meant to be implemented as a HTTP service. Beside the technical result of the process and the design of a RESTful interface, the developer becomes acquainted to the main elements of a RESTful design, the constraints and their application. The results of the evaluation, using a prototypical web application and public SOAP services, are promising.","SOAP, RPC, iterative, hypermedia, HTTP, resource design, REST, procedure model",WS-REST '12,,,
Conference Paper,"Di Penta M,Bavota G,Zampetti F",On the Relationship between Refactoring Actions and Bugs: A Differentiated Replication,,2020,,,556–567,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,"Virtual Event, USA",2020,9781450370431.0,,https://doi.org/10.1145/3368089.3409695;http://dx.doi.org/10.1145/3368089.3409695,10.1145/3368089.3409695,"Software refactoring aims at improving code quality while preserving the system's external behavior. Although in principle refactoring is a behavior-preserving activity, a study presented by Bavota etal in 2012 reported the proneness of some refactoring actions (eg pull up method) to induce faults. The study was performed by mining refactoring activities and bugs from three systems. Taking profit of the advances made in the mining software repositories field (eg better tools to detect refactoring actions at commit-level granularity), we present a differentiated replication of the work by Bavota etal in which we (i) overcome some of the weaknesses that affect their experimental design, (ii) answer the same research questions of the original study on a much larger dataset (3 vs 103 systems), and (iii) complement the quantitative analysis of the relationship between refactoring and bugs with a qualitative, manual inspection of commits aimed at verifying the extent to which refactoring actions trigger bug-fixing activities. The results of our quantitative analysis confirm the findings of the replicated study, while the qualitative analysis partially demystifies the role played by refactoring actions in the bug introduction.","bug introduction, refactoring, mining software repositories",ESEC/FSE 2020,,,
Conference Paper,"Williams LG,Smith CU",PASASM: A Method for the Performance Assessment of Software Architectures,,2002,,,179–189,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 3rd International Workshop on Software and Performance,"Rome, Italy",2002,9781581135633.0,,https://doi.org/10.1145/584369.584397;http://dx.doi.org/10.1145/584369.584397,10.1145/584369.584397,"Architectural decisions are among the earliest made in a software development project. They are also the most costly to fix if, when the software is completed, the architecture is found to be inappropriate for meeting quality objectives. Thus, it is important to be able to assess the impact of architectural decisions on quality objectives such as performance and reliability at the time that they are made.This paper describes PASA, a method for performance assessment of software architectures. It was developed from our experience in conducting performance assessments of software architectures in a variety of application domains including web-based systems, financial applications, and real-time systems. PASA uses the principles and techniques of software performance engineering (SPE) to determine whether an architecture is capable of supporting its performance objectives. The method may be applied to new development to uncover potential problems when they are easier and less expensive to fix. It may also be used when upgrading legacy systems to decide whether to continue to commit resources to the current architecture or migrate to a new one. The method is illustrated with an example drawn from an actual assessment.",,WOSP '02,,,
Conference Paper,"Veado L,Vale G,Fernandes E,Figueiredo E",TDTool: Threshold Derivation Tool,,2016,,,,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 20th International Conference on Evaluation and Assessment in Software Engineering,"Limerick, Ireland",2016,9781450336918.0,,https://doi.org/10.1145/2915970.2916014;http://dx.doi.org/10.1145/2915970.2916014,10.1145/2915970.2916014,"Software metrics provide basic means to quantify quality of software systems. However, the effectiveness of the measurement process is directly dependent on the definition of reliable thresholds. If thresholds are not properly defined, it is difficult to know, for instance, whether a given metric value indicates a potential problem in a class implementation. There are several methods proposed in literature to derive thresholds for software metrics. However, most of these methods (i) do not respect the skewed distribution of software metrics and (ii) do not provide a supporting tool. Aiming to fill the second gap, we propose a tool, called TDTool, to derive metric thresholds. TDTool is open source and supports four different methods for threshold derivation. This paper presents TDTool architecture and illustrates how to use it. It also presents the thresholds derived using each method based on a benchmark of 33 software product lines.","metrics, thresholds, software systems",EASE '16,,,
Conference Paper,"Oliva GA,Steinmacher I,Wiese I,Gerosa MA",What Can Commit Metadata Tell Us about Design Degradation?,,2013,,,18–27,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 2013 International Workshop on Principles of Software Evolution,"Saint Petersburg, Russia",2013,9781450323116.0,,https://doi.org/10.1145/2501543.2501547;http://dx.doi.org/10.1145/2501543.2501547,10.1145/2501543.2501547,"Design degradation has long been assessed by means of structural analyses applied on successive versions of a software system. More recently, repository mining techniques have been developed in order to uncover rich historical information of software projects. In this paper, we leverage such information and propose an approach to assess design degradation that is programming language agnostic and relies almost exclusively on commit metadata. Our approach currently focuses on the assessment of two particular design smells: rigidity and fragility. Rigidity refer to designs that are difficult to change due to ripple effects and fragility refer to designs that tend to break in different areas every time a change is performed. We conducted an evaluation of our approach in the project Apache Maven 1 and the results indicated that our approach is feasible and that the project suffered from increasing fragility.","commit metadata, mining software repositories, software metrics, version control systems, Design degradation",IWPSE 2013,,,
Conference Paper,"Seng O,Stammel J,Burkhart D",Search-Based Determination of Refactorings for Improving the Class Structure of Object-Oriented Systems,,2006,,,1909–1916,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 8th Annual Conference on Genetic and Evolutionary Computation,"Seattle, Washington, USA",2006,9781595931863.0,,https://doi.org/10.1145/1143997.1144315;http://dx.doi.org/10.1145/1143997.1144315,10.1145/1143997.1144315,"A software system's structure degrades over time, a phenomenon that is known as software decay or design drift. Since the quality of the structure has major impact on the maintainability of a system, the structure has to be reconditioned from time to time. Even if recent advances in the fields of automated detection of bad smells and refactorings have made life easier for software engineers, this is still a very complex and resource consuming task.Search-based approaches have turned out to be helpful in aiding a software engineer to improve the subsystem structure of a software system. In this paper we show that such techniques are also applicable when reconditioning the class structure of a system. We describe a novel search-based approach that assists a software engineer who has to perform this task by suggesting a list of refactorings. Our approach uses an evolutionary algorithm and simulated refactorings that do not change the system's externally visible behavior. The approach is evaluated using the open-source case study JHotDraw.","refactoring, software metrics, design heuristics, evolutionary algorithms",GECCO '06,,,
Conference Paper,"Tasharofi S,Johnson R",Patterns of Optimized Loops,,2010,,,,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 2010 Workshop on Parallel Programming Patterns,"Carefree, Arizona, USA",2010,9781450301275.0,,https://doi.org/10.1145/1953611.1953617;http://dx.doi.org/10.1145/1953611.1953617,10.1145/1953611.1953617,"Loop constructs play an important role in obtaining speed-up in parallel programming. In this paper, we explain the solutions applied for optimizing loops in parallel programs in terms of three patterns for parallel programming. These patterns can be used for parallel programming by users who have medium background on parallel programming and compiler courses. They can also be implemented in the compilers as a part of program optimization process.","parallel programming patterns, loop optimizations, program transformations",ParaPLoP '10,,,
Conference Paper,"Guo X,Peng X,Wang H,Li W,Jiang H,Ding D,Xie T,Su L",Graph-Based Trace Analysis for Microservice Architecture Understanding and Problem Diagnosis,,2020,,,1387–1397,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,"Virtual Event, USA",2020,9781450370431.0,,https://doi.org/10.1145/3368089.3417066;http://dx.doi.org/10.1145/3368089.3417066,10.1145/3368089.3417066,"Microservice systems are highly dynamic and complex. For such systems, operation engineers and developers highly rely on trace analysis to understand architectures and diagnose various problems such as service failures and quality degradation. However, the huge number of traces produced at runtime makes it challenging to capture the required information in real-time. To address the faced challenges, in this paper, we propose a graph-based microservice trace analysis approach GMTA for understanding architecture and diagnosing various problems. Built on a graph-based representation, GMTA includes efficient processing of traces produced on the fly. It abstracts traces into different paths and further groups them into business flows. To support various analytical applications, GMTA includes an efficient storage and access mechanism by combining a graph database and a real-time analytics database and using a carefully designed storage structure. Based on GMTA, we construct analytical applications for architecture understanding and problem diagnosis, these applications support various needs such as visualizing service dependencies, making architectural decisions, analyzing the changes of services behaviors, detecting performance issues, and locating root causes. GMTA has been implemented and deployed in eBay. An experimental study based on trace data produced by eBay demonstrates GMTA's effectiveness and efficiency for architecture understanding and problem diagnosis. Case studies conducted in eBay's monitoring team and Site Reliability Engineering (SRE) team further confirm GMTA's substantial benefits in industrial-scale microservice systems.","graph, fault localization, Microservice, visualization, architecture, tracing",ESEC/FSE 2020,,,
Conference Paper,"Latib MA,Ismail SA,Yusop OM,Magalingam P,Azmi A",Analysing Log Files For Web Intrusion Investigation Using Hadoop,,2018,,,12–21,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 7th International Conference on Software and Information Engineering,"Cairo, Egypt",2018,9781450364690.0,,https://doi.org/10.1145/3220267.3220269;http://dx.doi.org/10.1145/3220267.3220269,10.1145/3220267.3220269,"The process of analyzing large amount of data from the log file helps organization to identify the web intruders' activities as well as the vulnerabilities of the website. However, analyzing them is totally a great challenge as the process is time consuming and sometimes can be inefficient. Existing or traditional log analyzers may not able to analyze such big chunk of data. Therefore, the aim of this research is to produce an analysis result for web intrusion investigation in Big Data environment. In this study, web log was analyzed based on attacks that are captured through web server log files. The web log was cleaned and refined through a log-preprocessing program before it was analyzed. An experimental simulation was conducted using Hadoop framework to produce the required analysis results. The results of this experimental simulation indicate that Hadoop application is able to produce analysis results from large size web log files in order to assist the web intrusion investigation. Besides that, the execution time performance analysis shows that the total execution time will not increase linearly with the size of the data. This study also provides solution on visualizing the analysis result using Power View and Hive.","web log file, Hadoop, Big Data, log pre-processing, web intrusion",ICSIE '18,,,
Conference Paper,"Zhong H,Su Z",Detecting API Documentation Errors,,2013,,,803–816,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 2013 ACM SIGPLAN International Conference on Object Oriented Programming Systems Languages & Applications,"Indianapolis, Indiana, USA",2013,9781450323741.0,,https://doi.org/10.1145/2509136.2509523;http://dx.doi.org/10.1145/2509136.2509523,10.1145/2509136.2509523,"When programmers encounter an unfamiliar API library, they often need to refer to its documentations, tutorials, or discussions on development forums to learn its proper usage. These API documents contain valuable information, but may also mislead programmers as they may contain errors (e.g., broken code names and obsolete code samples). Although most API documents are actively maintained and updated, studies show that many new and latent errors do exist. It is tedious and error-prone to find such errors manually as API documents can be enormous with thousands of pages. Existing tools are ineffective in locating documentation errors because traditional natural language (NL) tools do not understand code names and code samples, and traditional code analysis tools do not understand NL sentences. In this paper, we propose the first approach, DOCREF, specifically designed and developed to detect API documentation errors. We formulate a class of inconsistencies to indicate potential documentation errors, and combine NL and code analysis techniques to detect and report such inconsistencies. We have implemented DOCREF and evaluated its effectiveness on the latest documentations of five widely-used API libraries. DOCREF has detected more than 1,000 new documentation errors, which we have reported to the authors. Many of the errors have already been confirmed and fixed, after we reported them.","api documentation error, outdated documentation",OOPSLA '13,,,
Journal Article,"Zhong H,Su Z",Detecting API Documentation Errors,SIGPLAN Not.,2013,48.0,10,803–816,Association for Computing Machinery,"New York, NY, USA",,,2013-10,,0362-1340,https://doi.org/10.1145/2544173.2509523;http://dx.doi.org/10.1145/2544173.2509523,10.1145/2544173.2509523,"When programmers encounter an unfamiliar API library, they often need to refer to its documentations, tutorials, or discussions on development forums to learn its proper usage. These API documents contain valuable information, but may also mislead programmers as they may contain errors (e.g., broken code names and obsolete code samples). Although most API documents are actively maintained and updated, studies show that many new and latent errors do exist. It is tedious and error-prone to find such errors manually as API documents can be enormous with thousands of pages. Existing tools are ineffective in locating documentation errors because traditional natural language (NL) tools do not understand code names and code samples, and traditional code analysis tools do not understand NL sentences. In this paper, we propose the first approach, DOCREF, specifically designed and developed to detect API documentation errors. We formulate a class of inconsistencies to indicate potential documentation errors, and combine NL and code analysis techniques to detect and report such inconsistencies. We have implemented DOCREF and evaluated its effectiveness on the latest documentations of five widely-used API libraries. DOCREF has detected more than 1,000 new documentation errors, which we have reported to the authors. Many of the errors have already been confirmed and fixed, after we reported them.","api documentation error, outdated documentation",,,,
Conference Paper,"Sedano T,Ralph P,Péraire C",The Product Backlog,,2019,,,200–211,IEEE Press,"Montreal, Quebec, Canada",Proceedings of the 41st International Conference on Software Engineering,,2019,,,https://doi.org/10.1109/ICSE.2019.00036;http://dx.doi.org/10.1109/ICSE.2019.00036,10.1109/ICSE.2019.00036,"Context: One of the most common artifacts in contemporary software projects is a product backlog comprising user stories, bugs, chores or other work items. However, little research has investigated how the backlog is generated or the precise role it plays in a project.Objective: The purpose of this paper is to determine what is a product backlog, what is its role, and how does it emerge?Method: Following Constructivist Grounded Theory, we conducted a two-year, five-month participant-observation study of eight software development projects at Pivotal, a large, international software company. We interviewed 56 software engineers, product designers, and product managers. We conducted a survey of 27 product designers. We alternated between analysis and theoretical sampling until achieving theoretical saturation.Results: We observed 13 practices and 6 obstacles related to product backlog generation.Limitations: Grounded Theory does not support statistical generalization. While the proposed theory of product backlogs appears widely applicable, organizations with different software development cultures may use different practices.Conclusion: The product backlog is simultaneously a model of work to be done and a boundary object that helps bridge the gap between the processes of generating user stories and realizing them in working code. It emerges from sensemaking (the team making sense of the project context) and coevolution (a cognitive process where the team simultaneously refines its understanding of the problematic context and fledgling solution concepts).","user stories, product backlog, extreme programming, dual-track agile, lean, user-centered design, design thinking, feature engineering, scrum",ICSE '19,,,
Conference Paper,"Reza SM,Badreddin O,Rahad K",ModelMine: A Tool to Facilitate Mining Models from Open Source Repositories,,2020,,,,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,"Virtual Event, Canada",2020,9781450381352.0,,https://doi.org/10.1145/3417990.3422006;http://dx.doi.org/10.1145/3417990.3422006,10.1145/3417990.3422006,"Mining Software Repositories (MSR) has opened up new pathways and rich sources of data for research and practical purposes. This research discipline facilitates mining data from open source repositories and analyzing software defects, development activities, processes, patterns, and more. Contemporary mining tools are geared towards data extraction, analysis primarily from textual artifacts and have limitations in representation, ranking and availability. This paper presents ModelMine, a novel mining tool focuses on mining model-based artifacts and designs from open source repositories. ModelMine is designed particularly to mine software repositories, artifacts and commit history to uncover information about software designs and practices in open-source communities. ModelMine supports features that include identification and ranking of open source repositories based on the extent of presence of model-based artifacts and querying repositories to extract models and design artifacts based on customizable criteria. It supports phase-by-phase caching of intermediate results to speed up the processing to enable efficient mining of data. We compare ModelMine against a state-of-the-art tool named PyDriller in terms of performance and usability. The results show that ModelMine has the potential to become instrumental for cross-disciplinary research that combines modeling and design with repository mining and artifacts extraction. URL: https://www.smreza.com/projects/modelmine/","mining software repositories, model mining, software engineering",MODELS '20,,,
Conference Paper,"Maggioni E,Cobden R,Dmitrenko D,Obrist M",Smell-O-Message: Integration of Olfactory Notifications into a Messaging Application to Improve Users' Performance,,2018,,,45–54,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 20th ACM International Conference on Multimodal Interaction,"Boulder, CO, USA",2018,9781450356923.0,,https://doi.org/10.1145/3242969.3242975;http://dx.doi.org/10.1145/3242969.3242975,10.1145/3242969.3242975,"Smell is a powerful tool for conveying and recalling information without requiring visual attention. Previous work identified, however, some challenges caused by user's unfamiliarity with this modality and complexity in the scent delivery. We are now able to overcome these challenges, introducing a training approach to familiarise scent-meaning associations (urgency of a message, and sender identity) and using a controllable device for the scent-delivery. Here we re-validate the effectiveness of smell as notification modality and present findings on the performance of smell in conveying information. In a user study composed of two sessions, we compared the effectiveness of visual, olfactory, and combined visual-olfactory notifications in a messaging application. We demonstrated that olfactory notifications improve users' confidence and performance in identifying the urgency level of a message, with the same reaction time and disruption levels as for visual notifications. We discuss the design implications and opportunities for future work in the domain of multimodal interactions.","multimodal notifications, performance, olfactory notifications, olfactory familiarisation/training, slack, disruptiveness",ICMI '18,,,
Conference Paper,"Groner R,Tichy M,Becker S",Towards Performance Engineering of Model Transformation,,2018,,,33–36,Association for Computing Machinery,"New York, NY, USA",Companion of the 2018 ACM/SPEC International Conference on Performance Engineering,"Berlin, Germany",2018,9781450356299.0,,https://doi.org/10.1145/3185768.3186305;http://dx.doi.org/10.1145/3185768.3186305,10.1145/3185768.3186305,"Model transformations are an essential operation on models which is applied at design time and even at run time. For this, the performance of transformations is an important aspect, which needs to be considered. The current research takes only the improvement of transformation engines into account but there is no method or tool support to help engineers to identify performance bottlenecks in their transformation definition. In this paper we present our proposed approach to develop a method for performance engineering of model transformations. This method should support engineers to improve the performance of their defined transformations by providing visualizations of reasons for performance problems and offering possible refactorings for a transformation which can improve its performance.","model transformation, Henshin, model driven software engineering, performance engineering",ICPE '18,,,
Journal Article,"Bouwers E,Visser J,van Deursen A",Getting What You Measure,Commun. ACM,2012,55.0,7,54–59,Association for Computing Machinery,"New York, NY, USA",,,2012-07,,0001-0782,https://doi.org/10.1145/2209249.2209266;http://dx.doi.org/10.1145/2209249.2209266,10.1145/2209249.2209266,Four common pitfalls in using software metrics for project management.,,,,,
Conference Paper,"Košir A,Odić A,Tkalčič M",How to Improve the Statistical Power of the 10-Fold Cross Validation Scheme in Recommender Systems,,2013,,,3–6,Association for Computing Machinery,"New York, NY, USA",Proceedings of the International Workshop on Reproducibility and Replication in Recommender Systems Evaluation,"Hong Kong, China",2013,9781450324656.0,,https://doi.org/10.1145/2532508.2532510;http://dx.doi.org/10.1145/2532508.2532510,10.1145/2532508.2532510,"At this stage development of recommender systems (RS), an evaluation of competing approaches (methods) yielding similar performances in terms of experiment reproduction is of crucial importance in order to direct the further development toward the most promising direction. These comparisons are usually based on the 10-fold cross validation scheme. Since the compared performances are often similar to each other, the application of statistical significance testing is inevitable in order to not to get misled by randomly caused differences of achieved performances. For the same reason, to reproduce experiments on a different set of experimental data, the most powerful significance testing should be applied. In this work we provide guidelines on how to achieve the highest power in the comparison of RS and we demonstrate them on a comparison of RS performances when different variables are contextualized.","experimental design, paired testing, evaluation, folding, recommender systems",RepSys '13,,,
Conference Paper,"Dai T,He J,Gu X,Lu S,Wang P",DScope: Detecting Real-World Data Corruption Hang Bugs in Cloud Server Systems,,2018,,,313–325,Association for Computing Machinery,"New York, NY, USA",Proceedings of the ACM Symposium on Cloud Computing,"Carlsbad, CA, USA",2018,9781450360111.0,,https://doi.org/10.1145/3267809.3267844;http://dx.doi.org/10.1145/3267809.3267844,10.1145/3267809.3267844,"Cloud server systems such as Hadoop and Cassandra have enabled many real-world data-intensive applications running inside computing clouds. However, those systems present many data-corruption and performance problems which are notoriously difficult to debug due to the lack of diagnosis information. In this paper, we present DScope, a tool that statically detects data-corruption related software hang bugs in cloud server systems. DScope statically analyzes I/O operations and loops in a software package, and identifies loops whose exit conditions can be affected by I/O operations through returned data, returned error code, or I/O exception handling. After identifying those loops which are prone to hang problems under data corruption, DScope conducts loop bound and loop stride analysis to prune out false positives. We have implemented DScope and evaluated it using 9 common cloud server systems. Our results show that DScope can detect 42 real software hang bugs including 29 newly discovered software hang bugs. In contrast, existing bug detection tools miss detecting most of those bugs.","performance bug detection, static analysis, data corruption",SoCC '18,,,
Conference Paper,"Hosseini A,Mavroidis D,Konas P",Code Generation and Analysis for the Functional Verification of Micro Processors,,1996,,,305–310,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 33rd Annual Design Automation Conference,"Las Vegas, Nevada, USA",1996,9780897917797.0,,https://doi.org/10.1145/240518.240574;http://dx.doi.org/10.1145/240518.240574,10.1145/240518.240574,,,DAC '96,,,
Conference Paper,"Carver JC,Dieste O,Kraft NA,Lo D,Zimmermann T",How Practitioners Perceive the Relevance of ESEM Research,,2016,,,,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 10th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,"Ciudad Real, Spain",2016,9781450344272.0,,https://doi.org/10.1145/2961111.2962597;http://dx.doi.org/10.1145/2961111.2962597,10.1145/2961111.2962597,"Background: The relevance of ESEM research to industry practitioners is key to the long-term health of the conference. Aims: The goal of this work is to understand how ESEM research is perceived within the practitioner community and provide feedback to the ESEM community ensure our research remains relevant. Method: To understand how practitioners perceive ESEM research, we replicated previous work by sending a survey to several hundred industry practitioners at a number of companies around the world. We asked the survey participants to rate the relevance of the research described in 156 ESEM papers published between 2011 and 2015. Results: We received 9,941 ratings by 437 practitioners who labeled ideas as Essential, Worth-while, Unimportant, or Unwise. The results showed that overall, industrial practitioners find the work published in ESEM to be valuable: 67% of all ratings were essential or worthwhile. We found no correlation between citation count and perceived relevance of the papers. Through a qualitative analysis, we also identified a number of research themes on which practitioners would like to see an increased research focus. Conclusions: The work published in ESEM is generally relevant to industrial practitioners. There are a number of topics for which those practitioners would like to see additional research undertaken.","ESEM Conference, Industrial Relevance, Survey",ESEM '16,,,
