,Title,Authors,Year,Repository
424,The Poetics of Socio-Technical Space: Evaluating the Internet of Things Through Craft,Lingel J,2016,ACM
425,Two-B or Not Two-B? Design Patterns for Hybrid Metaheuristics,"Patelli A,Bencomo N,Ekárt A,Goldingay H,Lewis P",2015,ACM
426,"Coverage, Relevance, and Ranking: The Impact of Query Operators on Web Search Engine Results","Eastman CM,Jansen BJ",2003,ACM
427,Taxonomy of XML Schema Languages Using Formal Language Theory,"Murata M,Lee D,Mani M,Kawaguchi K",2005,ACM
428,Thread Algebra for Strategic Interleaving,"Bergstra JA,Middelburg CA",2007,ACM
429,Raising the Responsible Child: Collaborative Work in the Use of Activity Trackers for Children,"Oygür I,Epstein DA,Chen Y",2020,ACM
430,Breaking Undercover: Exploiting Design Flaws and Nonuniform Human Behavior,"Perković T,Li S,Mumtaz A,Khayam SA,Javed Y,Čagalj M",2011,ACM
431,Language Design with Intent,Zaytsev V,2017,ACM
432,Fast and Precise Touch-Based Text Entry for Head-Mounted Augmented Reality with Variable Occlusion,"Dudley JJ,Vertanen K,Kristensson PO",2018,ACM
433,Experience Using Multiprocessor Systems—A Status Report,"Jones AK,Schwarz P",1980,ACM
434,"Semantic Web for the Working Ontologist: Effective Modeling for Linked Data, RDFS, and OWL","Allemang D,Hendler J,Gandon F",2020,ACM
435,Patterns of Persuasion for Sustainability,"Knowles B,Blair L,Walker S,Coulton P,Thomas L,Mullagh L",2014,ACM
436,Making SOA Work in a Healthcare Company,"Blanton J,Leski S,Nicks B,Tirzaman T",2009,ACM
437,Good and Bad Modeling Practices,,2020,ACM
438,Interactive Editing Systems: Part II,"Meyrowitz N,van Dam A",1982,ACM
439,"Programming, Problem Solving, and Self-Awareness: Effects of Explicit Guidance","Loksa D,Ko AJ,Jernigan W,Oleson A,Mendez CJ,Burnett MM",2016,ACM
440,Expressive Query Construction through Direct Manipulation of Nested Relational Results,"Bakke E,Karger DR",2016,ACM
441,Including Structural Factors into the Metrics-Based Code Smells Detection,"Walter B,Matuszyk B,Fontana FA",2015,ACM
442,Investigating the Impact of Code Smells Debt on Quality Code Evaluation,"Fontana FA,Ferme V,Spinelli S",2012,ACM
443,Helping Mobile Software Code Reviewers: A Study of Bug Repair and Refactoring Patterns,Chen Z,2016,ACM
444,Profiling Developers Through the Lens of Technical Debt,"Codabux Z,Dutchyn C",2020,ACM
445,Self-Reported Activities of Android Developers,"Pascarella L,Geiger FX,Palomba F,Di Nucci D,Malavolta I,Bacchelli A",2018,ACM
446,GodExpo: An Automated God Structure Detection Tool for Golang,"Yasir RM,Asad M,Galib AH,Ganguly KK,Siddik MS",2019,ACM
447,How Does Incomplete Composite Refactoring Affect Internal Quality Attributes?,"Bibiano AC,Soares V,Coutinho D,Fernandes E,Correia JL,Santos K,Oliveira A,Garcia A,Gheyi R,Fonseca B,Ribeiro M,Barbosa C,Oliveira D",2020,ACM
448,Software Documentation: The Practitioners' Perspective,"Aghajani E,Nagy C,Linares-Vásquez M,Moreno L,Bavota G,Lanza M,Shepherd DC",2020,ACM
449,Empirical Evaluation of Code Smells in Open Source Projects: Preliminary Results,"Nanthaamornphong A,Chaisutanon A",2016,ACM
450,Fork/Join Parallelism in the Wild: Documenting Patterns and Anti-Patterns in Java Programs Using the Fork/Join Framework,"De Wael M,Marr S,Van Cutsem T",2014,ACM
451,A Model to Detect Readability Improvements in Incremental Changes,"Roy D,Fakhoury S,Lee J,Arnaoudova V",2020,ACM
452,Using Different Characteristics of Machine Learners to Identify Different Defect Families,Petrić J,2016,ACM
453,Landfill: An Open Dataset of Code Smells with Public Evaluation,"Palomba F,Nucci DD,Tufano M,Bavota G,Oliveto R,Poshyvanyk D,De Lucia A",2015,ACM
454,Towards Greener Android Application Development,Anwar H,2020,ACM
455,Applying Software Metric Thresholds for Detection of Bad Smells,"Souza PP,Sousa BL,Ferreira KA,Bigonha MA",2017,ACM
456,Fuzzy Neuro Approach to Water Management Systems,"Kambli A,Modi S",2019,ACM
457,Experiences with Criticality Predictions in Software Development,Ebert C,1997,ACM
458,Experiences with Criticality Predictions in Software Development,Ebert C,1997,ACM
459,Handling Uncertainty in Code Smells Detection Using a Possibilistic SBSE Approach,"Boutaib S,Bechikh S,Coello CA,Hung CC,Said LB",2020,ACM
460,An Approach for Collaborative Code Reviews Using Multi-Touch Technology,"Müller S,Würsch M,Fritz T,Gall HC",2012,ACM
461,The Seven Sins: Security Smells in Infrastructure as Code Scripts,"Rahman A,Parnin C,Williams L",2019,ACM
462,An Exploratory Study of Software Sustainability Dimensions and Characteristics: End User Perspectives in the Kingdom of Saudi Arabia (KSA),"Aljarallah S,Lock R",2018,ACM
463,Investigating Variability-Aware Smells in SPLs: An Exploratory Study,"Souza IS,Machado I,Seaman C,Gomes G,Chavez C,de Almeida ES,Masiero P",2019,ACM
464,Recommendation of Move Method Refactoring Using Path-Based Representation of Code,"Kurbatova Z,Veselov I,Golubev Y,Bryksin T",2020,ACM
465,Active Hotspot: An Issue-Oriented Model to Monitor Software Evolution and Degradation,"Feng Q,Cai Y,Kazman R,Cui D,Liu T,Fang H",2020,ACM
466,Causes of Premature Aging during Software Development: An Observational Study,"Lavallée M,Robillard PN",2011,ACM
467,Sniffing Android Code Smells: An Association Rules Mining-Based Approach,"Rubin J,Henniche AN,Moha N,Bouguessa M,Bousbia N",2019,ACM
468,Co-Occurrence of Design Patterns and Bad Smells in Software Systems: An Exploratory Study,"Cardoso B,Figueiredo E",2015,ACM
469,Understanding Code Smells in Android Applications,"Mannan UA,Ahmed I,Almurshed RA,Dig D,Jensen C",2016,ACM
470,The Evolving Structures of Software Systems,"Ferreira KA,Moreira RC,Bigonha MA,Bigonha RS",2012,ACM
471,SQLCheck: Automated Detection and Diagnosis of SQL Anti-Patterns,"Dintyala P,Narechania A,Arulraj J",2020,ACM
472,Why Developers Refactor Source Code: A Mining-Based Study,"Pantiuchina J,Zampetti F,Scalabrino S,Piantadosi V,Oliveto R,Bavota G,Penta MD",2020,ACM
473,Filtering Code Smells Detection Results,"Fontana FA,Ferme V,Zanoni M",2015,ACM
474,The Technical Debt Dataset,"Lenarduzzi V,Saarimäki N,Taibi D",2019,ACM
475,Application of Clustering Algorithms for Discovering Bug Patterns in JavaScript Software,"de Macedo CM,Ruela AS,Delgado KV",2019,ACM
476,A Study on the Lifecycle of Flaky Tests,"Lam W,Muşlu K,Sajnani H,Thummalapenta S",2020,ACM
477,Smells Are Sensitive to Developers! On the Efficiency of (Un)Guided Customized Detection,"Hozano M,Garcia A,Antunes N,Fonseca B,Costa E",2017,ACM
478,Surfing the Net for Software Engineering Notes,Doernhoefer M,2012,ACM
479,Threshold Analysis of Design Metrics to Detect Design Flaws: Student Research Abstract,Hussain S,2016,ACM
480,Why We Refactor? Confessions of GitHub Contributors,"Silva D,Tsantalis N,Valente MT",2016,ACM
481,Antipattern-Based Model Refactoring for Software Performance Improvement,"Arcelli D,Cortellessa V,Trubiani C",2012,ACM
482,Architectural-Based Speculative Analysis to Predict Bugs in a Software System,"Le D,Medvidovic N",2016,ACM
483,How Do Software Developers Identify Design Problems? A Qualitative Analysis,"Sousa L,Oliveira R,Garcia A,Lee J,Conte T,Oizumi W,de Mello R,Lopes A,Valentim N,Oliveira E,Lucena C",2017,ACM
484,Computation of Refactoring Plans from Refactoring Strategies Using HTN Planning,"Pérez J,Crespo Y",2012,ACM
485,A Public Unified Bug Dataset for Java,"Ferenc R,Tóth Z,Ladányi G,Siket I,Gyimóthy T",2018,ACM
486,An Experimental Evaluation of Imbalanced Learning and Time-Series Validation in the Context of CI/CD Prediction,"Liu B,Zhang H,Yang L,Dong L,Shen H,Song K",2020,ACM
487,The Sisyphus Database Retrieval Software Performance Antipattern,"Dugan RF,Glinert EP,Shokoufandeh A",2002,ACM
488,Visualization-Based Analysis of Quality for Large-Scale Software Systems,"Langelier G,Sahraoui H,Poulin P",2005,ACM
489,On the Survival of Android Code Smells in the Wild,"Habchi S,Rouvoy R,Moha N",2019,ACM
490,Using Concept Analysis to Detect Co-Change Patterns,"Gîrba T,Ducasse S,Kuhn A,Marinescu R,Daniel R",2007,ACM
491,On the Effectiveness of Unit Tests in Test-Driven Development,"Tosun A,Ahmed M,Turhan B,Juristo N",2018,ACM
492,The Rise of Android Code Smells: Who is to Blame?,"Habchi S,Moha N,Rouvoy R",2019,ACM
493,Anti-Patterns in Search-Based Program Repair,"Tan SH,Yoshida H,Prasad MR,Roychoudhury A",2016,ACM
494,Restructuring of Object-Oriented Software Through Cohesion Improvement Using Frequent Usage Patterns,"Rathee A,Chhabra JK",2017,ACM
495,Performance Antipattern Detection through FUML Model Library,"Arcelli D,Berardinelli L,Trubiani C",2015,ACM
496,Large-Scale Agile Development Patterns for Enterprise and Solution Architects,"Uludağ Ö,Matthes F",2020,ACM
497,Technical Debt in Agile Development: Report on the Ninth Workshop on Managing Technical Debt (MTD 2017),"Fontana FA,Chatzigeorgiou A,Trumler W,Izurieta C,Avgeriou P,Nord RL",2017,ACM
498,Text-Based CAPTCHA Strengths and Weaknesses,"Bursztein E,Martin M,Mitchell J",2011,ACM
499,"On the Prevalence, Impact, and Evolution of SQL Code Smells in Data-Intensive Systems","Muse BA,Rahman MM,Nagy C,Cleve A,Khomh F,Antoniol G",2020,ACM
500,A Comprehensive Study on Deep Learning Bug Characteristics,"Islam MJ,Nguyen G,Pan R,Rajan H",2019,ACM
501,Defining Metric Thresholds for Software Product Lines: A Comparative Study,"Vale G,Albuquerque D,Figueiredo E,Garcia A",2015,ACM
502,Survey on Software Clone Detection Research,"Min H,Li Ping Z",2019,ACM
503,Investigating the Social Representations of the Identification of Code Smells by Practitioners and Students from Brazil,"Mello R,Uchôa A,Oliveira R,Oliveira D,Oizumi W,Souza J,Fonseca B,Garcia A",2019,ACM
504,Where Should I Comment My Code? A Dataset and Model for Predicting Locations That Need Comments,"Louis A,Dash SK,Barr ET,Ernst MD,Sutton C",2020,ACM
505,Using Code Quality Features to Predict Bugs in Procedural Software Systems,"Araújo CW,Zapalowski V,Nunes I",2018,ACM
506,Architectural Smells Detected by Tools: A Catalogue Proposal,"Azadi U,Fontana FA,Taibi D",2019,ACM
507,From a Domain Analysis to the Specification and Detection of Code and Design Smells,"Moha N,Guéhéneuc YG,Meur AF,Duchien L,Tiberghien A",2010,ACM
508,Technical Debt: Broadening Perspectives Report on the Seventh Workshop on Managing Technical Debt (MTD 2015),"Avgeriou P,Ernst NA,Nord RL,Kruchten P",2016,ACM
509,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,"Soltanifar B,Akbarinasaji S,Caglayan B,Bener AB,Filiz A,Kramer BM",2016,ACM
510,Case Study: Supplementing Program Analysis with Natural Language Analysis to Improve a Reverse Engineering Task,"Shepherd D,Pollock L,Vijay-Shanker K",2007,ACM
511,How Do Community Smells Influence Code Smells?,"Palomba F,Tamburri DA,Serebrenik A,Zaidman A,Fontana FA,Oliveto R",2018,ACM
512,Impact of Gamification on Code Review Process: An Experimental Study,"Khandelwal S,Sripada SK,Reddy YR",2017,ACM
513,Recommending Composite Refactorings for Smell Removal: Heuristics and Evaluation,"Oizumi W,Bibiano AC,Cedrim D,Oliveira A,Sousa L,Garcia A,Oliveira D",2020,ACM
514,Accurate and Efficient Refactoring Detection in Commit History,"Tsantalis N,Mansouri M,Eshkevari LM,Mazinanian D,Dig D",2018,ACM
515,Tracking the Software Quality of Android Applications along Their Evolution,"Hecht G,Benomar O,Rouvoy R,Moha N,Duchien L",2015,ACM
516,Mining Software Repositories with ISPAROL and a Software Evolution Ontology,"Kiefer C,Bernstein A,Tappolet J",2007,ACM
517,Context-Sensitive Identification of Refactoring Opportunities,Cedrim D,2016,ACM
518,An Exploratory Study on the Relationship between Changes and Refactoring,"Palomba F,Zaidman A,Oliveto R,De Lucia A",2017,ACM
519,Towards a Catalogue of Java Exception Handling Bad Smells and Refactorings,"Rocha J,Melo H,Coelho R,Sena B",2020,ACM
520,A Desiderata for Refactoring-Based Software Modularity Improvement,Rama GM,2010,ACM
521,Using Stack Overflow to Assess Technical Debt Identification on Software Projects,"Gama E,Freire S,Mendonça M,Spínola RO,Paixao M,Cortés MI",2020,ACM
522,Multi-Criteria Code Refactoring Using Search-Based Software Engineering: An Industrial Case Study,"Ouni A,Kessentini M,Sahraoui H,Inoue K,Deb K",2016,ACM
523,Understanding the Impact of Refactoring on Smells: A Longitudinal Study of 23 Software Projects,"Cedrim D,Garcia A,Mongiovi M,Gheyi R,Sousa L,de Mello R,Fonseca B,Ribeiro M,Chávez A",2017,ACM
524,On the Diffuseness of Code Technical Debt in Java Projects of the Apache Ecosystem,"Saarimäki N,Lenarduzzi V,Taibi D",2019,ACM
525,Recursive Autoencoder with HowNet Lexicon for Sentence-Level Sentiment Analysis,"Fu X,Xu Y",2015,ACM
526,Detecting Android Smells Using Multi-Objective Genetic Programming,"Kessentini M,Ouni A",2017,ACM
527,A Heuristic for Estimating the Impact of Lingering Defects: Can Debt Analogy Be Used as a Metric?,"Akbarinasaji S,Bener A,Neal A",2017,ACM
528,Automatic Detection of Performance Anti-Patterns in Inter-Component Communications,"Wert A,Oehler M,Heger C,Farahbod R",2014,ACM
529,When and Why Your Code Starts to Smell Bad,"Tufano M,Palomba F,Bavota G,Oliveto R,Di Penta M,De Lucia A,Poshyvanyk D",2015,ACM
530,Can Refactoring Be Self-Affirmed? An Exploratory Study on How Developers Document Their Refactoring Activities in Commit Messages,"AlOmar EA,Mkaouer MW,Ouni A",2019,ACM
531,Some Code Smells Have a Significant but Small Effect on Faults,"Hall T,Zhang M,Bowes D,Sun Y",2014,ACM
532,An Approach to Improve Code-First Web Services Discoverability at Development Time,"Ordiales Coscia JL,Crasso M,Mateos C,Zunino A",2012,ACM
533,Will My Program Break on This Faulty Processor? Formal Analysis of Hardware Fault Activations in Concurrent Embedded Software,"Bajczi L,Vörös A,Molnár V",2019,ACM
534,Sustainable Software Development through Overlapping Pair Rotation,"Sedano T,Ralph P,Péraire C",2016,ACM
535,"Domain Matters: Bringing Further Evidence of the Relationships among Anti-Patterns, Application Domains, and Quality-Related Metrics in Java Mobile Apps","Linares-Vásquez M,Klock S,McMillan C,Sabané A,Poshyvanyk D,Guéhéneuc YG",2014,ACM
536,How Should We Measure Functional Sameness from Program Source Code? An Exploratory Study on Java Methods,"Higo Y,Kusumoto S",2014,ACM
537,Developer-Related Factors in Change Prediction: An Empirical Assessment,"Catolino G,Palomba F,De Lucia A,Ferrucci F,Zaidman A",2017,ACM
538,Assessing the Refactoring of Brain Methods,"Vidal S,Berra I,Zulliani S,Marcos C,Pace JA",2018,ACM
539,The Maven Dependency Graph: A Temporal Graph-Based Representation of Maven Central,"Benelallam A,Harrand N,Soto-Valero C,Baudry B,Barais O",2019,ACM
540,Analyzing APIs Documentation and Code to Detect Directive Defects,"Zhou Y,Gu R,Chen T,Huang Z,Panichella S,Gall H",2017,ACM
541,Reducing Interactive Refactoring Effort via Clustering-Based Multi-Objective Search,"Alizadeh V,Kessentini M",2018,ACM
542,Deep Learning Based Feature Envy Detection,"Liu H,Xu Z,Zou Y",2018,ACM
543,Leveraging Small Software Engineering Data Sets with Pre-Trained Neural Networks,"Robbes R,Janes A",2019,ACM
544,A Clairvoyant Approach to Evaluating Software (In)Security,"Jain B,Tsai CC,Porter DE",2017,ACM
545,Perspectives on Automated Correction of Bad Smells,"Pérez J,Crespo Y",2009,ACM
546,Characterizing and Detecting Anti-Patterns in the Logging Code,"Chen B,Jiang ZM",2017,ACM
547,"On the Prioritization of Design-Relevant Smelly Elements: A Mixed-Method, Multi-Project Study","Oliveira A,Sousa L,Oizumi W,Garcia A",2019,ACM
548,Finding Software License Violations through Binary Code Clone Detection,"Hemel A,Kalleberg KT,Vermaas R,Dolstra E",2011,ACM
549,Technical Debt as an External Software Attribute,"Lavazza L,Morasca S,Tosi D",2018,ACM
550,Crash-Avoiding Program Repair,"Gao X,Mechtaev S,Roychoudhury A",2019,ACM
551,Automated Program Repair,"Goues CL,Pradel M,Roychoudhury A",2019,ACM
552,Logtracker: Learning Log Revision Behaviors Proactively from Software Evolution History,"Li S,Niu X,Jia Z,Wang J,He H,Wang T",2018,ACM
553,"Cross-Technology, Cross-Layer Defect Detection in IT Systems: Challenges and Achievements","Douziech PE,Curtis B",2015,ACM
554,On the Analysis of Evolution of Software Artefacts and Programs,Jaafar F,2012,ACM
555,A Hybrid Approach for Improving the Design Quality of Web Service Interfaces,"Ouni A,Wang H,Kessentini M,Bouktif S,Inoue K",2018,ACM
556,Organizing the Technical Debt Landscape,"Izurieta C,Vetrò A,Zazworka N,Cai Y,Seaman C,Shull F",2012,ACM
557,On Quick Comprehension and Assessment of Software,"Bartoszuk C,Dąbrowski R,Stencel K,Timoszuk G",2013,ACM
558,Developing New Approaches for Software Design Quality Improvement Based on Subjective Evaluations,Mantyla MV,2004,ACM
559,A Multi-Dimensional Quality Analysis of Android Applications,"Ghari S,Hadian M,Rasolroveicy M,Fokaefs M",2019,ACM
560,Software Reuse Antipatterns,Long J,2001,ACM
561,Impact of Refactoring on Quality Code Evaluation,"Fontana FA,Spinelli S",2011,ACM
562,Better Test Cases for Better Automated Program Repair,"Yang J,Zhikhartsev A,Liu Y,Tan L",2017,ACM
563,Cultural Patterns in Software Process Mishaps: Incidents in Global Projects,"MacGregor E,Hsieh Y,Kruchten P",2005,ACM
564,Cultural Patterns in Software Process Mishaps: Incidents in Global Projects,"MacGregor E,Hsieh Y,Kruchten P",2005,ACM
565,TsDetect: An Open Source Test Smells Detection Tool,"Peruma A,Almalki K,Newman CD,Mkaouer MW,Ouni A,Palomba F",2020,ACM
566,Mining until It Hurts: Automatic Extraction of Usability Issues from Online Reviews Compared to Traditional Usability Evaluation,"Hedegaard S,Simonsen JG",2014,ACM
567,Report of the 4th International Symposium on Empirical Software Engineering and Measurement ESEM 2010,"Lutteri E,Russo B,Succi G",2011,ACM
568,Recommending Refactorings Based on Team Co-Maintenance Patterns,"Bavota G,Panichella S,Tsantalis N,Di Penta M,Oliveto R,Canfora G",2014,ACM
569,Research on the Tools of Clone Code Refactoring,"Fengrong Z,Liping Z,Junqi Z",2019,ACM
570,A Cross-Tool Communication Study on Program Analysis Tool Notifications,"Johnson B,Pandita R,Smith J,Ford D,Elder S,Murphy-Hill E,Heckman S,Sadowski C",2016,ACM
571,A Longitudinal Study of Anti Micro Patterns in 113 Versions of Tomcat,"Destefanis G,Qaderi S,Bowes D,Petrić J,Ortu M",2018,ACM
572,Detecting Design Violations in Django-Based Web Applications,"Correia R,Adachi E",2019,ACM
573,Aiding Comprehension of Unit Test Cases and Test Suites with Stereotype-Based Tagging,"Li B,Vendome C,Linares-Vásquez M,Poshyvanyk D",2018,ACM
574,A Study on the Role of Software Architecture in the Evolution and Quality of Software,"Kouroshfar E,Mirakhorli M,Bagheri H,Xiao L,Malek S,Cai Y",2015,ACM
575,Object-Oriented Reengineering: Report on the Workshop WOOR'07 at ECOOP 2007 10th Anniversary Edition,"Demeyer S,Guéhéneuc YG,Keller A,Lange CF,Mens K,Kuhn A,Kuhlemann M",2007,ACM
576,ASE 2016: Proceedings of the 31st IEEE/ACM International Conference on Automated Software Engineering,,2016,ACM
577,A Test-Suite Diagnosability Metric for Spectrum-Based Fault Localization Approaches,"Perez A,Abreu R,van Deursen A",2017,ACM
578,Computing Contextual Metric Thresholds,"Foucault M,Palyart M,Falleri JR,Blanc X",2014,ACM
579,Studying the Relationship between Exception Handling Practices and Post-Release Defects,"de Pádua GB,Shang W",2018,ACM
580,Practical Fault Detection in Puppet Programs,"Sotiropoulos T,Mitropoulos D,Spinellis D",2020,ACM
581,Does Refactoring Improve Software Structural Quality? A Longitudinal Study of 25 Projects,"Cedrim D,Sousa L,Garcia A,Gheyi R",2016,ACM
582,Shaping Program Repair Space with Existing Patches and Similar Code,"Jiang J,Xiong Y,Zhang H,Gao Q,Chen X",2018,ACM
583,Performance-Based Guidelines for Energy Efficient Mobile Applications,"Cruz L,Abreu R",2017,ACM
584,Detecting Software Modularity Violations,"Wong S,Cai Y,Kim M,Dalton M",2011,ACM
585,Code Smells in IOS Apps: How Do They Compare to Android?,"Habchi S,Hecht G,Rouvoy R,Moha N",2017,ACM
586,Validating Test Case Migration via Mutation Analysis,"Jovanovikj I,Yigitbas E,Nagaraj A,Anjorin A,Sauer S,Engels G",2020,ACM
587,"Search Based Software Engineering: Challenges, Opportunities and Recent Applications",Ouni A,2020,ACM
588,Towards Just-in-Time Refactoring Recommenders,"Pantiuchina J,Bavota G,Tufano M,Poshyvanyk D",2018,ACM
589,Towards a Catalog of Usability Smells,"Almeida D,Campos JC,Saraiva J,Silva JC",2015,ACM
590,Long-Term Evaluation of Technical Debt in Open-Source Software,"Molnar AJ,Motogna S",2020,ACM
591,Evaluation of Move Method Refactorings Recommendation Algorithms: Are We Doing It Right?,"Novozhilov E,Veselov I,Pravilov M,Bryksin T",2019,ACM
592,Assessing the Value of Branches with What-If Analysis,"Bird C,Zimmermann T",2012,ACM
593,"Session Details: Main Track - Software Requirements, Architecture and Design for Information Systems","Siqueira SW,Carvalho ST",2015,ACM
594,Anti-Patterns for Multi-Language Systems,"Abidi M,Khomh F,Guéhéneuc YG",2019,ACM
595,Analysing the Evolution of Exception Handling Anti-Patterns in Large-Scale Projects: A Case Study,"de Sousa DB,Maia PH,Rocha LS,Viana W",2018,ACM
596,2010 ICSE Workshop on Emerging Trends in Software Metrics,"Canfora G,Concas G,Marchesi M,Tempero E,Zhang H",2010,ACM
597,Human and Social Factors of Software Engineering: Workshop Summary,"John M,Maurer F,Tessem B",2005,ACM
598,Precise Condition Synthesis for Program Repair,"Xiong Y,Wang J,Yan R,Zhang J,Han S,Huang G,Zhang L",2017,ACM
599,ServDroid: Detecting Service Usage Inefficiencies in Android Applications,"Song W,Zhang J,Huang J",2019,ACM
600,Preference-Based Multi-Objective Software Modelling,"Mkaouer MW,Kessentini M,Bechikh S,Tauritz DR",2013,ACM
601,Studying the Prevalence of Exception Handling Anti-Patterns,"de Pádua GB,Shang W",2017,ACM
602,A Continuous Software Quality Monitoring Approach for Small and Medium Enterprises,"Janes A,Lenarduzzi V,Stan AC",2017,ACM
603,Confidentiality in the Process of (Model-Driven) Software Development,"Johnson M,Stevens P",2018,ACM
604,Improving Software Modularization via Automated Analysis of Latent Topics and Dependencies,"Bavota G,Gethers M,Oliveto R,Poshyvanyk D,Lucia A",2014,ACM
605,"Rapid Multi-Purpose, Multi-Commit Code Analysis","Alexandru CV,Gall HC",2015,ACM
606,Inference and Analysis of Formal Models of Botnet Command and Control Protocols,"Cho CY,Babi ć D,Shin EC,Song D",2010,ACM
607,An Empirical Investigation into the Nature of Test Smells,"Tufano M,Palomba F,Bavota G,Di Penta M,Oliveto R,De Lucia A,Poshyvanyk D",2016,ACM
608,"Toward Simpler, Not Simplistic, Quantification of Software Architecture and Metrics: Report on the Second International Workshop on Software Architecture and Metrics","Ozkaya I,Nord RL,Koziolek H,Avgeriou P",2015,ACM
609,AndroVul: A Repository for Android Security Vulnerabilities,"Namrud Z,Kpodjedo S,Talhi C",2019,ACM
610,A Scalable and Efficient Approach for Compiling and Analyzing Commit History,"Behnamghader P,Meemeng P,Fostiropoulos I,Huang D,Srisopha K,Boehm B",2018,ACM
611,Comparative Study for Detecting Mobile Application's Anti-Patterns,"El-Dahshan KA,Elsayed EK,Ghannam NE",2019,ACM
612,Customizable Automatic Detection of Bad Usability Smells in Mobile Accessed Web Applications,"Paternò F,Schiavone AG,Conti A",2017,ACM
613,Detection Technology and Application of Clone Refactoring,"Yongting Y,Dongsheng L,Liping Z",2018,ACM
614,An Analysis of Anti-Micro-Patterns Effects on Fault-Proneness in Large Java Systems,"Destefanis G,Tonelli R,Concas G,Marchesi M",2012,ACM
615,Towards a Refactoring Guideline Using Code Clone Classification,"Schulze S,Kuhlemann M,Rosenmüller M",2008,ACM
616,Functional Path Analysis: An Approach to Software Verification,"Sheppard JW,Simpson WR",1988,ACM
617,Word Embeddings for the Software Engineering Domain,"Efstathiou V,Chatzilenas C,Spinellis D",2018,ACM
618,A Survey of Patterns for Adapting Smartphone App UIs to Smart Watches,"Zhou Z,Xu J,Balasubramanian A,Porter DE",2020,ACM
619,Shielding against Design Flaws with Field Repairable Control Logic,"Wagner I,Bertacco V,Austin T",2006,ACM
620,Temporal Discounting in Technical Debt: How Do Software Practitioners Discount the Future?,"Becker C,Fagerholm F,Mohanani R,Chatzigeorgiou A",2019,ACM
621,On the FaaS Track: Building Stateful Distributed Applications with Serverless Architectures,"Barcelona-Pons D,Sánchez-Artigas M,París G,Sutra P,García-López P",2019,ACM
622,Do Java Programmers Write Better Python? Studying off-Language Code Quality on GitHub,"Horschig S,Mattis T,Hirschfeld R",2018,ACM
623,Detection and Solution of Software Performance Antipatterns in Palladio Architectural Models,"Trubiani C,Koziolek A",2011,ACM
624,How Practitioners Perceive Coding Proficiency,"Xia X,Wan Z,Kochhar PS,Lo D",2019,ACM
625,Using 3D Carbon Dioxide Slab Laser Printing Processing for Craft Teaching in Elementary School,"Lee JT,Liu SF",2018,ACM
626,Distinguishing Copies from Originals in Software Clones,"Krinke J,Gold N,Jia Y,Binkley D",2010,ACM
627,Detecting Bad Smells in Source Code Using Change History Information,"Palomba F,Bavota G,Di Penta M,Oliveto R,De Lucia A,Poshyvanyk D",2013,ACM
628,Towards Automated Data Integration in Software Analytics,"Martínez-Fernández S,Jovanovic P,Franch X,Jedlitschka A",2018,ACM
629,"The CloudScale Method for Software Scalability, Elasticity, and Efficiency Engineering: A Tutorial","Lehrig S,Becker S",2015,ACM
630,Prioritizing Software Anomalies with Software Metrics and Architecture Blueprints: A Controlled Experiment,"Guimaraes E,Garcia A,Figueiredo E,Cai Y",2013,ACM
631,A Case Study on Effectively Identifying Technical Debt,"Zazworka N,Spínola RO,Vetro' A,Shull F,Seaman C",2013,ACM
632,On the Relationship between Design Discussions and Design Quality: A Case Study of Apache Projects,"Mannan UA,Ahmed I,Jensen C,Sarma A",2020,ACM
633,Relational Queries over Program Traces,"Goldsmith SF,O'Callahan R,Aiken A",2005,ACM
634,Relational Queries over Program Traces,"Goldsmith SF,O'Callahan R,Aiken A",2005,ACM
635,Is Code Cloning in Games Really Different?,"Al-omari F,Roy CK",2016,ACM
636,Which Code Construct Metrics Are Symptoms of Post Release Failures?,"Nagappan M,Murphy B,Vouk M",2011,ACM
637,Why Don't Software Developers Use Static Analysis Tools to Find Bugs?,"Johnson B,Song Y,Murphy-Hill E,Bowdidge R",2013,ACM
638,The Impact of Task Granularity on Co-Evolution Analyses,"Miura K,McIntosh S,Kamei Y,Hassan AE,Ubayashi N",2016,ACM
639,Software Licenses - A Tool to Control Distribution of Software,"Sharma V,Rizvi SA,Sharma A",2013,ACM
640,Software Licenses - A Tool to Control Distribution of Software,"Sharma V,Rizvi SA,Sharma A",2013,ACM
641,Semantic-Based Architecture Smell Analysis,"Chondamrongkul N,Sun J,Warren I,Lee SU",2020,ACM
642,An Exploratory Study on the Refactoring of Unit Test Files in Android Applications,"Peruma A,Newman CD,Mkaouer MW,Ouni A,Palomba F",2020,ACM
643,Automated Comprehension Tasks in Software Exploration,"Boccuzzo S,Gall HC",2009,ACM
644,On the Use of Time Series and Search Based Software Engineering for Refactoring Recommendation,"Wang H,Kessentini M,Grosky W,Meddeb H",2015,ACM
645,Do Bugs Foreshadow Vulnerabilities? A Study of the Chromium Project,"Camilo F,Meneely A,Nagappan M",2015,ACM
646,Incidence of Code Smells in the Application of Design Patterns: A Method-Level Analysis,"Assunção E,Souza R",2019,ACM
647,Process Mining Multiple Repositories for Software Defect Resolution from Control and Organizational Perspective,"Gupta M,Sureka A,Padmanabhuni S",2014,ACM
