"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Evaluating Domain-Specific Metric Thresholds: An Empirical Study","A. Mori; G. Vale; M. Viggiato; J. Oliveira; E. Figueiredo; E. Cirilo; P. Jamshidi; C. Kastner","Computer Science Department, Federal University of Minas Gerais (UFMG), Belo Horizonte, Brazil; Department of Informatics and Mathematics, University of Passau, Passau, Germany; Computer Science Department, Federal University of Minas Gerais (UFMG), Belo Horizonte, Brazil; Computer Science Department, Pontifical Catholic University of Minas Gerais (PUC-Minas), Belo Horizonte, Brazil; Computer Science Department, Federal University of Minas Gerais (UFMG), Belo Horizonte, Brazil; Computer Science Department, Federal University of Sao Joao del-Rei (UFSJ), Sao Joao del-Rei, Brazil; Institute for Software Research, Carnegie Mellon University (CMU), Pittsburgh, United States; Institute for Software Research, Carnegie Mellon University (CMU), Pittsburgh, United States","2018 IEEE/ACM International Conference on Technical Debt (TechDebt)","30 Dec 2018","2018","","","41","50","Software metrics and thresholds provide means to quantify several quality attributes of software systems. Indeed, they have been used in a wide variety of methods and tools for detecting different sorts of technical debts, such as code smells. Unfortunately, these methods and tools do not take into account characteristics of software domains, as the intrinsic complexity of geo-localization and scientific software systems or the simple protocols employed by messaging applications. Instead, they rely on generic thresholds that are derived from heterogeneous systems. Although derivation of reliable thresholds has long been a concern, we still lack empirical evidence about threshold variation across distinct software domains. To tackle this limitation, this paper investigates whether and how thresholds vary across domains by presenting a large-scale study on 3,107 software systems from 15 domains. We analyzed the derivation and distribution of thresholds based on 8 well-known source code metrics. As a result, we observed that software domain and size are relevant factors to be considered when building benchmarks for threshold derivation. Moreover, we also observed that domain-specific metric thresholds are more appropriated than generic ones for code smell detection.","","978-1-4503-5713-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8595098","Software metrics;thresholds;software domains","Benchmark testing;Software metrics;Software systems;Tools","software maintenance;software metrics;software quality","source code metrics;software thresholds;technical debts;geo-localization;messaging applications;reliable thresholds;heterogeneous systems;generic thresholds;scientific software systems;software metrics;code smell detection;domain-specific metric thresholds;threshold derivation;software domain;threshold variation","","6","","35","","30 Dec 2018","","","IEEE","IEEE Conferences"
"Are Smell-Based Metrics Actually Useful in Effort-Aware Structural Change-Proneness Prediction? An Empirical Study","H. Liu; Y. Yu; B. Li; Y. Yang; R. Jia","School of Computer Science and Engineering, Southeast University, Nanjing, China; Centre for Research in Computing, The Open University, UK; School of Computer Science and Engineering, Southeast University, Nanjing, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; School of Software and Electrical Engineering, Swinburne University of Technology, Melbourne, Australia","2018 25th Asia-Pacific Software Engineering Conference (APSEC)","23 May 2019","2018","","","315","324","Bad code smells (also named as code smells) are symptoms of poor design choices in implementation. Existing increases the likelihood of subsequent changes (i.e., change-proness). However, to the best of our knowledge, no prior studies have leveraged smell-based metrics to predict particular change type (i.e., structural changes). Moreover, when evaluating the effectiveness of smell-based metrics in structural change-proneness prediction, none of existing studies take into account of the effort inspecting those change-prone source code. In this paper, we consider five smell-based metrics for effort-aware structural change-proneness prediction and compare these metrics with a baseline of well-known CK metrics in predicting particular categories of change types. Specifically, we first employ univariate logistic regression to analyze the correlation between each smell-based metric and structural change-proneness. Then, we build multivariate prediction models to examine the effectiveness of smell-based metrics in effort-aware structural change-proneness prediction when used alone and used together with the baseline metrics, respectively. Our experiments are conducted on six Java open-source projects with up to 60 versions and results indicate that: (1) all smell-based metrics are significantly related to structural change-proneness, except metric ANOS in hive and SCM in camel after removing confounding effect of file size; (2) in most cases, smell-based metrics outperform the baseline metrics in predicting structural change-proneness; and (3) when used together with the baseline metrics, the smell-based metrics are more effective to predict change-prone files with being aware of inspection effort.","2640-0715","978-1-7281-1970-0","10.1109/APSEC.2018.00046","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8719536","code smell;structual change;effort-aware;change-proneness prediction","Measurement;Tools;Predictive models;Java;Software;Data collection;Logistics","Java;public domain software;regression analysis;software maintenance;software metrics;software quality","effort-aware structural change-proneness prediction;change-prone source code;baseline metrics;smell-based metrics;univariate logistic regression;multivariate prediction models;Java open-source projects;change-prone files","","1","","37","IEEE","23 May 2019","","","IEEE","IEEE Conferences"
"Deep Learning Anti-Patterns from Code Metrics History","A. Barbez; F. Khomh; Y. -G. Guéhéneuc","Polytechnique Montreal, Canada; Polytechnique Montreal, Canada; Concordia University, Montreal, QC, Canada","2019 IEEE International Conference on Software Maintenance and Evolution (ICSME)","5 Dec 2019","2019","","","114","124","Anti-patterns are poor solutions to recurring design problems. Number of empirical studies have highlighted the negative impact of anti-patterns on software maintenance which motivated the development of various detection techniques. Most of these approaches rely on structural metrics of software systems to identify affected components while others exploit historical information by analyzing co-changes occurring between code components. By relying solely on one aspect of software systems (i.e., structural or historical), existing approaches miss some precious information which limits their performances. In this paper, we propose CAME (Convolutional Analysis of code Metrics Evolution), a deep-learning based approach that relies on both structural and historical information to detect anti-patterns. Our approach exploits historical values of structural code metrics mined from version control systems and uses a Convolutional Neural Network classifier to infer the presence of anti-patterns from this information. We experiment our approach for the widely know God Class anti-pattern and evaluate its performances on three software systems. With the results of our study, we show that: (1) using historical values of source code metrics allows to increase the precision; (2) CAME outperforms existing static machine-learning classifiers; and (3) CAME outperforms existing detection tools.","2576-3148","978-1-7281-3094-1","10.1109/ICSME.2019.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8919037","Anti-patterns;Deep learning;Mining Software Repositories","Measurement;History;Software systems;Machine learning;Feature extraction;Open source software;Software maintenance","convolutional neural nets;data mining;learning (artificial intelligence);pattern classification;software maintenance;software metrics;software performance evaluation;software quality","historical values;structural code metrics;anti-patterns;God Class anti-pattern;software systems;source code metrics;structural metrics;historical information;code components;code Metrics Evolution;deep-learning based approach","","2","","40","IEEE","5 Dec 2019","","","IEEE","IEEE Conferences"
"Design Flaws Prediction for Impact on Software Maintainability using Extreme Learning Machine","P. Thongkum; S. Mekruksavanich","Department of Software Engineering, University of Phayao, Phayao, Thailand; Department of Computer Engineering, University of Phayao, Phayao, Thailand","2020 Joint International Conference on Digital Arts, Media and Technology with ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunications Engineering (ECTI DAMT & NCON)","11 May 2020","2020","","","79","82","The software that contains flaws in its design is an indication that the design and coding standards have been violated by the developer during the software system’s development. It has been observed in recent empirical studies that classes with flaws in the design flaws have a higher probability of change proneness or fault proneness when compared to classes without flaws in the design. There is an exponential increase in terms of the effort required to remove bugs due to design flaws in cases where the flaws are not detected in the early stages of the development of the software. The use of source code metrics for the prediction of design flaws can be implemented in the initial stages of the life cycle of the software development for the reduction of the testing effort and the maintenance of the software as well as the improvement of its quality. This empirical research study examines and assesses a variety of techniques for classification, feature selection, and data sampling in order to deal with the imbalance data for prediction of several categories of design flaws. The assessment of more than 20 application packages is the basis of the conclusions of this study. The results of the experiments indicate that the estimating capability of various classifiers, feature selection, and data imbalance techniques for the development of prediction models for design flaws can be confirmed. In addition, it was also revealed that the models that were developed through the use of one particular technique were found to be superior to the models that were developed with the use of other techniques, according to our analysis.","","978-1-7281-6398-7","10.1109/ECTIDAMTNCON48261.2020.9090717","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9090717","design flaws;Extreme Learning Machine;software metrics;software maintenance","Predictive models;Kernel;Computational modeling;Software metrics;Neurons","learning (artificial intelligence);pattern classification;probability;program debugging;software maintenance;software metrics;software quality","software system;design flaw prediction;feature selection;data imbalance techniques;design standard;coding standard;extreme learning machine;software development life cycle;software quality;classification;data sampling;software maintainability","","","","13","IEEE","11 May 2020","","","IEEE","IEEE Conferences"
"Do Code Smells Impact the Effort of Different Maintenance Programming Activities?","Z. Soh; A. Yamashita; F. Khomh; Y. -G. Guéhéneuc","Department of Computer and Software Engineering, Polytechnique de Montreal; Department of Information Technology, Oslo and Akershus University, Oslo, Norway; Department of Computer and Software Engineering, Polytechnique de Montreal; Department of Computer and Software Engineering, Polytechnique de Montreal","2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","23 May 2016","2016","1","","393","402","Empirical studies have shown so far that code smells have relatively low impact over maintenance effort at file level. We surmise that previous studies have found low effects of code smells because the effort considered is a ""sheer-effort"" that does not distinguish between the kinds of developers' activities. In our study, we investigate the effects of code smells at the activity level. Examples of activities are: reading, editing, searching, and navigating, which are performed independently over different files during maintenance. We conjecture that structural attributes represented in the form of different code smells do indeed have an effect on the effort for performing certain kinds of activities. To verify this conjecture, we revisit a previous study about the impact of code smell on maintenance effort, using the same dataset, but considering activity effort. Six professional developers were hired to perform three maintenance tasks on four functionally equivalent Java Systems. Each developer performs two maintenance tasks. During maintenance task, we monitor developers' logs. Then, we define an annotation schema to identify developers' activities and assess whether code smells affect different maintenance activities. Results show that different code smells affect differently activity effort. Yet, the size of the changes performed to solve the task impacts the effort of all activities more than code smells and file size. While code smells impact the editing and navigating effort more than file size, the file size impacts the reading and searching activities more than code smells. One major implication of these results is that if code smells indeed affect the effort of certain kinds of activities, it means that their effects are contingent on the type of maintenance task at hand, where some kinds of activities will become more predominant than others.","","978-1-5090-1855-0","10.1109/SANER.2016.103","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7476660","code smells;programming activity;maintenance effort;program comprehension;software quality","Maintenance engineering;Navigation;Java;Programming;Software;Companies;Software engineering","file organisation;Java;software maintenance;software quality","maintenance programming activities;code smells;file level;structural attributes;maintenance effort;functionally equivalent Java systems;developer log monitoring;annotation schema;file size","","25","","40","IEEE","23 May 2016","","","IEEE","IEEE Conferences"
"Code Smell Detection: Towards a Machine Learning-Based Approach","F. A. Fontana; M. Zanoni; A. Marino; M. V. Mäntylä","Department of Informatics, Systems and Communication University of Milano-Bicocca, Milano, Italy; Department of Informatics, Systems and Communication University of Milano-Bicocca, Milano, Italy; Department of Informatics, Systems and Communication University of Milano-Bicocca, Milano, Italy; Aalto University, Helsinki, Finland","2013 IEEE International Conference on Software Maintenance","2 Dec 2013","2013","","","396","399","Several code smells detection tools have been developed providing different results, because smells can be subjectively interpreted and hence detected in different ways. Usually the detection techniques are based on the computation of different kinds of metrics, and other aspects related to the domain of the system under analysis, its size and other design features are not taken into account. In this paper we propose an approach we are studying based on machine learning techniques. We outline some common problems faced for smells detection and we describe the different steps of our approach and the algorithms we use for the classification.","1063-6773","978-0-7695-4981-1","10.1109/ICSM.2013.56","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6676916","code smells detection;machine learning techniques","Measurement;Machine learning algorithms;Detectors;Software;Conferences;Labeling;Accuracy","learning (artificial intelligence);pattern classification;program diagnostics","code smell detection tools;machine learning-based approach;classification","","94","","20","IEEE","2 Dec 2013","","","IEEE","IEEE Conferences"
"AdaBoost-based Refused Bequest Code Smell Detection with Synthetic Instances","H. Chen; Z. Ren; L. Qiao; Z. Zhou; G. Gao; Y. Ma; H. Jiang","School of Software, Dalian University of Technology, Dalian, China; School of Software, Dalian University of Technology, Dalian, China; Beijing Institute of Control Engineering, Beijing, China; School of Software, Dalian University of Technology, Dalian, China; School of Software, Dalian University of Technology, Dalian, China; Taiyuan University of Technology, Taiyuan, China; School of Software, Dalian University of Technology, Dalian, China","2020 7th International Conference on Dependable Systems and Their Applications (DSA)","26 Jan 2021","2020","","","78","89","Software requirements are constantly changing. Consequently, the development process is frequently under time pressure, which results in technical debt. To illustrate the symptoms of technical debt, 22 code smells have been introduced to indicate the poor design in code fragment, among which refused bequest is one of the most harmful smells and with high diffuseness. However, refused bequest is rarely taken into account because there is a lack of dataset. Moreover, it is difficult to design the detection rules for refused bequest compared with other popular smells. In this paper, we propose a machine-learning-based refused bequest smell detection framework SEADART, which features the utilization of a set of synthetic smelly instances. Specifically, SEADART comprises three components: (1) a smell generation approach, and (2) a model training strategy, and (3) an AdaBoost-based detection model. We evaluate the performance of the proposed framework. The evaluation results suggest that the generated smelly instances are reliable, and the trained AdaBoost model significantly outperforms the state-of-the-art over a real-world dataset.","","978-0-7381-2422-3","10.1109/DSA51864.2020.00019","Research and Development; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9331242","Technical Debt;Code Smell;Refused Bequest;AdaBoost","Measurement;Training;Java;Machine learning;Feature extraction;Software;Reliability","learning (artificial intelligence);software maintenance","code fragment;detection rules;machine learning;smell generation approach;AdaBoost-based detection model;trained AdaBoost model;synthetic instances;software requirements;technical debt;refused bequest code smell detection;SEADART","","","","29","IEEE","26 Jan 2021","","","IEEE","IEEE Conferences"
"An adaptive approach for automatic design defects detection in object-oriented systems","S. Mekruksavanich","Department of Computer Engineering, University of Phayao, Phayao, Thailand","2017 International Conference on Digital Arts, Media and Technology (ICDAMT)","24 Apr 2017","2017","","","342","346","Design defects in object-oriented software have a detrimental impact on quality and also increase maintenance costs. Timeous detection and identification of these flaws is, therefore, necessary to avoid adverse outcomes within the system. Metric-based heuristic frameworks have recently become popular for detecting and locating object-oriented design defects from the source code. Imperfections can occur at any level and obtaining proper threshold values is often a complicated process. To lessen this impact, an adjustable threshold methodology for metric-based design flaw detection was proposed through machine learning to compute the contribution and threshold values of each metric set. The threshold values were adjusted and adapted to conform to the software data input characteristics. Results demonstrated that the proposed method generated more appropriate threshold limits for the detection of design imperfections. Implementation was simple, less time-consuming and did not require expert knowledge compared to traditional procedures.","","978-1-5090-5210-3","10.1109/ICDAMT.2017.7904988","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7904988","Design flaws;Defect detection;Machine learning;Software metric","Neurons;Training;Maintenance engineering;Software systems;Software metrics","learning (artificial intelligence);object-oriented methods;software reliability","contribution value;threshold value;machine learning;metric-based design flaw detection;adjustable threshold methodology;metric-based heuristic frameworks;object-oriented software;object-oriented systems;automatic design defects detection","","1","","26","IEEE","24 Apr 2017","","","IEEE","IEEE Conferences"
"A Support Vector Machine Based Approach for Code Smell Detection","A. Kaur; S. Jain; S. Goel","Department of Computer Science and Engineering, Thapar University, Patiala, Punjab, India; Department of Computer Science and Engineering, Thapar University, Patiala, Punjab, India; Department of Computer Science and Engineering, Bennett University, G. Noida, Uttar Pradesh, India","2017 International Conference on Machine Learning and Data Science (MLDS)","22 Mar 2018","2017","","","9","14","Code smells may be introduced in software due to market rivalry, work pressure deadline, improper functioning, skills or inexperience of software developers. Code smells indicate problems in design or code which makes software hard to change and maintain. Detecting code smells could reduce the effort of developers, resources and cost of the software. Many researchers have proposed different techniques like DETEX for detecting code smells which have limited precision and recall. To overcome these limitations, a new technique named as SVMCSD has been proposed for the detection of code smells, based on support vector machine learning technique. Four code smells are specified namely God Class, Feature Envy, Data Class and Long Method and the proposed technique is validated on two open source systems namely ArgoUML and Xerces. The accuracy of SVMCSD is found to be better than DETEX in terms of two metrics, precision and recall, when applied on a subset of a system. While considering the entire system, SVMCSD detect more occurrences of code smells than DETEX.","","978-1-5386-3446-2","10.1109/MLDS.2017.8","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8320252","Code smells;Anti-patterns;Support Vector Machine;Software maintenance","Support vector machines;Measurement;Software systems;Training;Software quality;Computer science","learning (artificial intelligence);public domain software;software maintenance;software metrics;software quality;support vector machines","support vector machine;software developers;code smell detection;code smells;DETEX;SVMCSD","","12","","21","IEEE","22 Mar 2018","","","IEEE","IEEE Conferences"
"Structural Quality Metrics as Indicators of the Long Method Bad Smell: An Empirical Study","S. Charalampidou; E. -M. Arvanitou; A. Ampatzoglou; P. Avgeriou; A. Chatzigeorgiou; I. Stamelos","Rijksuniversiteit Groningen, Groningen, Groningen, NL; Department of Computer Science, University of Macedonia, Thessaloniki, Greece; Rijksuniversiteit Groningen, Groningen, Groningen, NL; Rijksuniversiteit Groningen, Groningen, Groningen, NL; Department of Computer Science, University of Macedonia, Thessaloniki, Greece; Department of Computer Science, University of Macedonia, Thessaloniki, Greece","2018 44th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","21 Oct 2018","2018","","","234","238","Empirical evidence has pointed out that Extract Method refactorings are among the most commonly applied refactorings by software developers. The identification of Long Method code smells and the ranking of the associated refactoring opportunities is largely based on the use of metrics, primarily with measures of cohesion, size and coupling. Despite the relevance of these proper-ties to the presence of large, complex and non-cohesive pieces of code, the empirical validation of these metrics has exhibited relatively low accuracy (max precision: 66%) regarding their predictive power for long methods or extract method opportunities. In this work we perform an empirical validation of the ability of cohesion, coupling and size metrics to predict the existence and the intensity of long method occurrences. According to the statistical analysis, the existence and the intensity of the Long Method smell can be effectively predicted by two size (LoC and NoLV), two coupling (MPC and RFC), and four cohesion (LCOM1, LCOM2, Coh, and CC) metrics. Furthermore, the integration of these metrics into a multiple logistic regression model can predict whether a method should be refactored with a precision of 89% and a recall of 91%. The model yields suggestions whose ranking is strongly correlated to the ranking based on the effect of the corresponding refactorings on source code (correl. coef. 0.520). The results are discussed by providing interpretations and implications for research and practice.","","978-1-5386-7383-6","10.1109/SEAA.2018.00046","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8498213","long method;coupling;cohesion;size;case study","Measurement;Couplings;Software;Predictive models;Logistics;Informatics;Statistical analysis","regression analysis;software maintenance;software metrics","empirical validation;coupling;size metrics;long method occurrences;cohesion;multiple logistic regression model;source code;structural quality metrics;empirical evidence;software developers;proper-ties;max precision;predictive power;extract method refactorings;long method bad smell;long method code;extract method opportunities","","5","","26","IEEE","21 Oct 2018","","","IEEE","IEEE Conferences"
"A Bayesian Approach for the Detection of Code and Design Smells","F. Khomh; S. Vaucher; Y. -G. Guéhéneuc; H. Sahraoui","Ptidej Team DGIGL, Ecole Polytechnique de Montrèal, Canada; GEODES DIRO, Université de Montreal, Canada; Ptidej Team DGIGL, Ecole Polytechnique de Montrèal, Canada; GEODES DIRO, Université de Montreal, Canada","2009 Ninth International Conference on Quality Software","15 Jan 2010","2009","","","305","314","The presence of code and design smells can have a severe impact on the quality of a program. Consequently, their detection and correction have drawn the attention of both researchers and practitioners who have proposed various approaches to detect code and design smells in programs. However, none of these approaches handle the inherent uncertainty of the detection process. We propose a Bayesian approach to manage this uncertainty. First, we present a systematic process to convert existing state-of-the-art detection rules into a probabilistic model. We illustrate this process by generating a model to detect occurrences of the Blob antipattern. Second, we present results of the validation of the model: we built this model on two open-source programs, GanttProject v1.10.2 and Xerces v2.7.0, and measured its accuracy. Third, we compare our model with another approach to show that it returns the same candidate classes while ordering them to minimise the quality analysts' effort. Finally, we show that when past detection results are available, our model can be calibrated using machine learning techniques to offer an improved, context-specific detection.","2332-662X","978-1-4244-5913-1","10.1109/QSIC.2009.47","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5381430","code smells;design smells;bayesian belief networks;software quality","Bayesian methods;Uncertainty;Software quality;Open source software;Electronic mail;Context modeling;Machine learning;Impedance;Quality assessment;Software systems","belief networks;software quality;uncertainty handling","Bayesian approach;uncertainty handling;probabilistic model;Blob antipattern;open source program;GanttProject v1.10.2;Xerces v2.7.0;quality analysts effort;machine learning technique;context specific detection;program quality;code smell detection;design smell detection;detection rules","","118","","32","IEEE","15 Jan 2010","","","IEEE","IEEE Conferences"
"Quantifying the Effect of Code Smells on Maintenance Effort","D. I. K. Sjøberg; A. Yamashita; B. C. D. Anda; A. Mockus; T. Dybå","Department of Informatics, University of Oslo, Oslo, Norway; Department of Informatics, University of Oslo, Oslo, Norway; Department of Informatics, University of Oslo, Oslo, Norway; Avaya Laboratories Research, Basking Ridge, NJ, USA; Universitetet i Oslo, Oslo, NO","IEEE Transactions on Software Engineering","25 Jul 2013","2013","39","8","1144","1156","Context: Code smells are assumed to indicate bad design that leads to less maintainable code. However, this assumption has not been investigated in controlled studies with professional software developers. Aim: This paper investigates the relationship between code smells and maintenance effort. Method: Six developers were hired to perform three maintenance tasks each on four functionally equivalent Java systems originally implemented by different companies. Each developer spent three to four weeks. In total, they modified 298 Java files in the four systems. An Eclipse IDE plug-in measured the exact amount of time a developer spent maintaining each file. Regression analysis was used to explain the effort using file properties, including the number of smells. Result: None of the 12 investigated smells was significantly associated with increased effort after we adjusted for file size and the number of changes; Refused Bequest was significantly associated with decreased effort. File size and the number of changes explained almost all of the modeled variation in effort. Conclusion: The effects of the 12 smells on maintenance effort were limited. To reduce maintenance effort, a focus on reducing code size and the work practices that limit the number of changes may be more beneficial than refactoring code smells.","1939-3520","","10.1109/TSE.2012.89","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6392174","Maintainability;object-oriented design;product metrics;code churn","Maintenance engineering;Java;Software;Surgery;Time measurement;Context;Electronic mail","Java;regression analysis;software maintenance","code smell effect quantification;maintenance effort;maintainable code;maintenance tasks;Java systems;Java files;Eclipse IDE plug-in;regression analysis;file properties;refused bequest;file size;code size reduction;code smell refactoring","","201","","46","IEEE","21 Dec 2012","","","IEEE","IEEE Journals"
"A Method to Derive Metric Thresholds for Software Product Lines","G. A. D. Vale; E. M. L. Figueiredo","Department of Computer Science, Federal University of Minas Gerais (UFMG), Belo Horizonte, MG, Brazil; Department of Computer Science, Federal University of Minas Gerais (UFMG), Belo Horizonte, MG, Brazil","2015 29th Brazilian Symposium on Software Engineering","12 Nov 2015","2015","","","110","119","A software product line (SPL) is a set of software systems that share a common and variable set of components (features). Software metrics provide basic means to quantify several quality aspects of SPL components. However, the effectiveness of the SPL measurement process is directly dependent on the definition of reliable thresholds. If thresholds are not properly defined, it is difficult to actually know whether a given metric value indicates a potential problem in the component implementation. There are several methods to derive thresholds for software metrics. However, there is little understanding about their appropriateness for the context of SPLs. This paper aims to propose a method to derive thresholds in the SPL context. Our method is evaluated in terms of recall and precision using two code smells (God Class and Lazy Class) detection strategies. The evaluation of our method is performed based on a benchmark of 33 SPLs and the results were compared with a method (baseline) with the same purpose used in the context of SPLs (not proposed). The results show that our method has better recall when compared with baseline.","","978-1-4673-9272-3","10.1109/SBES.2015.9","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7328015","Metrics;Thresholds;Software Product Lines","Benchmark testing;Software metrics;Software systems;Context;Programming","object-oriented programming;software metrics;software product lines","software product lines;software systems;software metric threshold;software quality;SPL components;SPL measurement process;component implementation;recall value;precision value;God Class;Lazy Class;code smell detection strategy","","12","","37","IEEE","12 Nov 2015","","","IEEE","IEEE Conferences"
"Using Code Evolution Information to Improve the Quality of Labels in Code Smell Datasets","Y. Wang; S. Hu; L. Yin; X. Zhou","School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China; School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China; School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China; School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China","2018 IEEE 42nd Annual Computer Software and Applications Conference (COMPSAC)","22 Jun 2018","2018","01","","48","53","Several approaches are proposed to detect code smells. A set of important approaches are based on machine learning algorithms, which require the code smells have been labeled in source codes as training data firstly. The common labeling approaches are based on manual or tools, but it is difficult for current approaches to get reliable large-scale datasets. In this paper, an approach using the evolution information of source codes is proposed to get large-scale and more reliable training datasets for detecting code smells based on machine learning algorithms. Our approach analyzes the evolving of the source code smells firstly labeled by a tool from the baseline version into the contrastive version of a software system, and then constructs training datasets based on those ""changed smells"". Experiments conducted on three open source software projects for detecting four types of code smells(which are Data Class, God Class, Brain Class and Brain Method) show that the models obtained by changed smells datasets have better performance on code smell detection than those obtained by unchanged smells datasets (with an average improvement rate of 7.8% and a maximum increase of 30%). The experiments results indicate that using the evolution information of source codes can construct more reliable training datasets for detecting code smells based on machine learning algorithms.","0730-3157","978-1-5386-2667-2","10.1109/COMPSAC.2018.00015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8377639","Code smells;Training dataset;Machine learning;Refactoring","Tools;Training;Reliability;Java;Software;Machine learning algorithms;Labeling","learning (artificial intelligence);public domain software;software quality;source code (software)","code smell datasets;machine learning algorithms;source code;code evolution information;open source software project;software quality","","","","20","IEEE","22 Jun 2018","","","IEEE","IEEE Conferences"
"Detecting Code Smells using Deep Learning","A. K. Das; S. Yadav; S. Dhal","Department of Software Engineering, International Institute of Information Technology, Bangalore, India; Department of Computer Science and Engineering, Indian Institute of Information Technology, Guwahati, India; Department of Computer Science and Engineering, Indian Institute of Information Technology, Guwahati, India","TENCON 2019 - 2019 IEEE Region 10 Conference (TENCON)","12 Dec 2019","2019","","","2081","2086","A smell in software refers to a symptom introduced in software artifacts such as architecture, design or code. A code smell can potentially cause deeper and serious problems, while dealing with mainly non-functional requirements such as testability, maintainability, extensibility and scalability. The detection of code smell is an essential step in the refactoring process, which facilitates non functional requirements in a software. The existing approaches for detecting code smells use detection rules or standards using a combination of different object-oriented metrics. Although a variety of code smell detection tools have been developed, they still have limitations and constraints in their capabilities. The most well-known object-oriented metrics are considered to identify the presence of smells in software. This paper proposes a deep learning based approach to detect two code smells (Brain Class and Brain Method). The proposed system uses thirty open source Java projects, which are shared by many users in GitHub repositories. The dataset of these Java projects is partitioned into mutually exclusive training and test sets. Our experiments have demonstrated high accuracy results for both the code smells.","2159-3450","978-1-7281-1895-6","10.1109/TENCON.2019.8929628","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8929628","Code smells;Deep Learning;Object-oriented metrics;Code smell detection tools","Machine learning;Software;Measurement;Convolutional codes;Tools;Biological neural networks;Training","Java;learning (artificial intelligence);program testing;public domain software;software maintenance;software metrics;software quality","nonfunctional requirements;code smell detection tools;deep learning;software artifacts;refactoring process;open source Java projects;GitHub repositories;exclusive training sets;test sets","","4","","27","IEEE","12 Dec 2019","","","IEEE","IEEE Conferences"
"Code Bad Smell Detection through Evolutionary Data Mining","S. Fu; B. Shen","School of Software, Shanghai Jiao Tong University, Shanghai, China; School of Software, Shanghai Jiao Tong University, Shanghai, China","2015 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)","9 Nov 2015","2015","","","1","9","The existence of code bad smell has a severe impact on the software quality. Numerous researches show that ignoring code bad smells can lead to failure of a software system. Thus, the detection of bad smells has drawn the attention of many researchers and practitioners. Quite a few approaches have been proposed to detect code bad smells. Most approaches are solely based on structural information extracted from source code. However, we have observed that some code bad smells have the evolutionary property, and thus propose a novel approach to detect three code bad smells by mining software evolutionary data: duplicated code, shotgun surgery, and divergent change. It exploits association rules mined from change history of software systems, upon which we define heuristic algorithms to detect the three bad smells. The experimental results on five open source projects demonstrate that the proposed approach achieves higher precision, recall and F-measure.","1949-3789","978-1-4673-7899-4","10.1109/ESEM.2015.7321194","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7321194","","Software systems;History;Association rules;Surgery;Couplings","data mining;evolutionary computation;software quality;source code (software)","code bad smell detection;software quality;source code;software evolutionary data mining;duplicated code;shotgun surgery;divergent change","","19","","31","IEEE","9 Nov 2015","","","IEEE","IEEE Conferences"
